mark_wall_s,source,loop,playback_t_s,source_t_rel_s,source_sample_t_rel_s,sample_index,q1,q2,q3,q4,q5,q6
1783086322.005517,ur,2,20.604517,21.617217,21.612300,2060,-2.203458000,-1.517393000,1.952145000,-1.940385000,-1.636819000,2.685700000
1783086327.897277,ur,2,26.502427,27.515127,27.512300,2650,-1.244551000,-1.307314000,1.843165000,-2.065244000,-1.626368000,3.146755000
