t_rel_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
2.1978,-1.8487303958310934,-1.9912953960727864,1.8572770935527003,-1.5151840380463235,-1.6010406344141446,2.819111320729995,-0.37633,-0.04663,-0.04663,0.00000,-0.14083,-0.18841
2.2311,-1.8594834446726385,-1.9913105824825865,1.8542246251828869,-1.5151840380463235,-1.6056424218304022,2.8129753975936382,-0.32283,-0.00046,-0.09164,0.00000,-0.13815,-0.18421
2.2644,-1.8793333079011416,-1.9913107343466845,1.8359704087391073,-1.5121467560863102,-1.6208748495046326,2.8022835515022284,-0.59687,-0.00000,-0.54889,0.09133,-0.45803,-0.32149
2.2979,-1.8886436524134673,-1.9913107358653255,1.8206014567746016,-1.5090791013066964,-1.6316576606414221,2.794583428141281,-0.27780,-0.00000,-0.45858,0.09153,-0.32174,-0.22976
2.3311,-1.8948113197786185,-1.991310735880512,1.802224075494875,-1.5060111427988863,-1.6423959756128377,2.7853945810276293,-0.18539,-0.00000,-0.55239,0.09222,-0.32277,-0.27620
2.3644,-1.900947560372297,-1.9913107358806639,1.7807793279619828,-1.4999058992937815,-1.6516152046425927,2.776190846676453,-0.18442,-0.00000,-0.64452,0.18349,-0.27708,-0.27662
2.3976,-1.9040462047382474,-1.9913107358806652,1.7593039067665588,-1.49528892391871,-1.660819242812931,2.7685056044329075,-0.09326,-0.00000,-0.64633,0.13895,-0.27701,-0.23130
2.4311,-1.9025585502019,-1.9913107358806652,1.7363095378545028,-1.4876495492649253,-1.6669858471146612,2.76387282907045,0.04442,0.00000,-0.68664,0.22812,-0.18414,-0.13834
2.4648,-1.9025436736565364,-1.9913107358806652,1.7148186204452875,-1.4799799506183533,-1.6685661541376855,2.76230786033682,0.00044,0.00000,-0.63891,0.22801,-0.04698,-0.04653
2.4979,-1.902543524891083,-1.9882734539206521,1.6978986604911206,-1.4738286907118607,-1.6685819572079157,2.7622922106494836,0.00000,0.09152,-0.50981,0.18534,-0.00048,-0.00047
2.5311,-1.9040621643834352,-1.9836871581610311,1.684061692071518,-1.4692112551727754,-1.668582115238618,2.76229205415261,-0.04580,0.13832,-0.41731,0.13926,-0.00000,-0.00000
2.5644,-1.9040773507783588,-1.9806040132434222,1.6793673994473013,-1.4676464398373776,-1.668582116818925,2.7622920525876413,-0.00046,0.09251,-0.14085,0.04695,-0.00000,-0.00000
2.5978,-1.904077502642308,-1.977535899834232,1.6823577384810726,-1.4676307916840237,-1.6685821168347281,2.7622920525719916,-0.00000,0.09209,0.08976,0.00047,-0.00000,-0.00000
2.6311,-1.9040775041609477,-1.974467936740126,1.6869435648114306,-1.46763063520249,-1.6685821168348862,2.7622920525718353,-0.00000,0.09191,0.13737,0.00000,-0.00000,-0.00000
2.6645,-1.904077504176134,-1.9653254112291443,1.6900267050347482,-1.4676306336376748,-1.6670634758548808,2.7622920525718335,-0.00000,0.27420,0.09247,0.00000,0.04555,-0.00000
2.6979,-1.9025588631962789,-1.9530848581339806,1.693094818396995,-1.4691492746020336,-1.6670482894450807,2.7638106935518394,0.04538,0.36581,0.09169,-0.04538,0.00045,0.04538
2.7310,-1.9025436767864803,-1.9468878886830014,1.6946441405106243,-1.4691644610116772,-1.6670481375809827,2.7638258799616393,0.00046,0.18730,0.04683,-0.00046,0.00000,0.00046
2.7642,-1.9025435249223823,-1.9437886370284785,1.6961782747117669,-1.4691646128757736,-1.6640108541023284,2.7638260318257375,0.00000,0.09328,0.04617,-0.00000,0.09142,0.00000
2.7976,-1.9025435234037413,-1.9422390035319264,1.702268179973806,-1.4691646143944146,-1.6624618402875349,2.7638260333443783,0.00000,0.04640,0.18234,-0.00000,0.04638,0.00000
2.8316,-1.9025435233885548,-1.9422235071969607,1.7175154888264939,-1.4737205373496214,-1.6609277091693804,2.763826033359565,0.00000,0.00046,0.44935,-0.13427,0.04521,0.00000
2.8644,-1.9025435233884032,-1.9407047112536044,1.7282984487750686,-1.4752847375591802,-1.660912367858199,2.7638260333597167,0.00000,0.04626,0.32845,-0.04765,0.00047,0.00000
2.8978,-1.9025435233884016,-1.9406895232941708,1.735999483274588,-1.4768190205412823,-1.660912214445087,2.7638260333597184,0.00000,0.00045,0.23062,-0.04595,0.00000,0.00000
2.9316,-1.9040621643684086,-1.9406893714145765,1.7451883394996242,-1.4768343633711034,-1.659393571930949,2.7638260333597184,-0.04487,0.00000,0.27151,-0.00045,0.04487,0.00000
2.9645,-1.9040773507782085,-1.9406893698957806,1.7559107149219215,-1.4783531577794087,-1.6593783855058075,2.7623073923797126,-0.00046,0.00000,0.32640,-0.04623,0.00046,-0.04623
2.9979,-1.9040775026423065,-1.9361334469405724,1.7681670665161988,-1.479886986703498,-1.6593782336415561,2.762292205969912,-0.00000,0.13630,0.36668,-0.04589,0.00000,-0.00045
3.0312,-1.9040775041609475,-1.9284946828109866,1.774364193952169,-1.481420965972746,-1.6593782321229136,2.7622920541058145,-0.00000,0.22945,0.18614,-0.04608,0.00000,-0.00000
3.0644,-1.904077504176134,-1.9223437312496627,1.778982088166549,-1.4859922287054588,-1.6593782321077273,2.7622920525871733,-0.00000,0.18556,0.13931,-0.13790,0.00000,-0.00000
3.0978,-1.907114786136299,-1.9222822217340496,1.7835841900487135,-1.4905938642728065,-1.6593782321075754,2.760773411591981,-0.09078,0.00184,0.13756,-0.13754,0.00000,-0.04539
3.1317,-1.9117010818959213,-1.9207629656588876,1.7897047749875619,-1.4967144445485068,-1.6593782321075738,2.760758225182029,-0.13535,0.04484,0.18063,-0.18063,0.00000,-0.00045
3.1648,-1.9178215087735446,-1.920747773098136,1.7973591857369842,-1.5043688552512982,-1.6593782321075738,2.7607580733179296,-0.18502,0.00046,0.23139,-0.23139,0.00000,-0.00000
3.1976,-1.9239572769623476,-1.9207476211725285,1.8035102937645058,-1.5120386042583598,-1.6593782321075738,2.760758071799289,-0.18681,0.00000,0.18727,-0.23351,0.00000,-0.00000
3.2310,-1.9300931985642626,-1.9207476196532725,1.8081277277848014,-1.5181898656684574,-1.6593782321075738,2.7607580717841023,-0.18381,0.00000,0.13832,-0.18426,0.00000,-0.00000
3.2643,-1.9347104807203026,-1.9222662606180858,1.8127298250650248,-1.5258445831825924,-1.6593782321075738,2.7607580717839504,-0.13849,-0.04555,0.13804,-0.22960,0.00000,-0.00000
3.2979,-1.939312576481883,-1.9222814470277338,1.8158131279978404,-1.5319956942777608,-1.6593782321075738,2.7607580717839486,-0.13729,-0.00045,0.09198,-0.18350,0.00000,-0.00000
3.3311,-1.9439145203795194,-1.9222815988918303,1.8203998839671889,-1.5381317693087397,-1.6578595911275669,2.7592394308039405,-0.13856,-0.00000,0.13810,-0.18475,0.04572,-0.04572
3.3646,-1.9469978217785089,-1.9222816004104712,1.8265203154469092,-1.5412304120190632,-1.6578444047177667,2.7592242443941406,-0.09206,-0.00000,0.18275,-0.09252,0.00045,-0.00045
3.3976,-1.9485472957725058,-1.9238002414056647,1.8326560836817338,-1.5458173213861865,-1.6593628938336757,2.759224092530043,-0.04695,-0.04601,0.18591,-0.13898,-0.04601,-0.00000
3.4314,-1.9500814314924528,-1.9238154278156165,1.838792005284109,-1.5489004724398714,-1.657859437744828,2.7592240910114016,-0.04539,-0.00045,0.18155,-0.09123,0.04448,-0.00000
3.4645,-1.950096772849652,-1.925334220659723,1.8449279284201603,-1.5534872268904287,-1.6578444031839394,2.759224090996215,-0.00046,-0.04589,0.18538,-0.13858,0.00045,-0.00000
3.4979,-1.953134208223238,-1.9268680495681711,1.851063851571548,-1.5596076583549616,-1.6593628938183376,2.7592240909960633,-0.09079,-0.04585,0.18341,-0.18294,-0.04539,-0.00000
3.5311,-1.9546832235569809,-1.9268833878572555,1.8556811337430819,-1.564224785609627,-1.6593780787246815,2.759224090996062,-0.04665,-0.00046,0.13907,-0.13906,-0.00046,-0.00000
3.5646,-1.9546987137103182,-1.9284021822201534,1.858764588524811,-1.5642709568821735,-1.659378230573745,2.759224090996062,-0.00046,-0.04544,0.09226,-0.00138,-0.00000,0.00000
3.5976,-1.9546988686118516,-1.9268987291837754,1.8603140640526348,-1.5642714185948992,-1.6593782320922355,2.76074273197607,-0.00000,0.04551,0.04690,-0.00001,-0.00000,0.04597
3.6316,-1.954698870160867,-1.9284023356334186,1.8648854817479334,-1.5642714232120263,-1.6578595911274134,2.759239277405862,-0.00000,-0.04418,0.13432,-0.00000,0.04462,-0.04417
3.6645,-1.956217511156363,-1.9284173716979152,1.8694871188649067,-1.5642714232581976,-1.6593630456977722,2.7607428838401677,-0.04622,-0.00046,0.14004,-0.00000,-0.04575,0.04576
3.6977,-1.954714056586312,-1.929936163038566,1.874089058176097,-1.5642714232586592,-1.6593780802434759,2.760757919904511,0.04520,-0.04566,0.13836,-0.00000,-0.00045,0.00045
3.7311,-1.9546990220406115,-1.9314699919319795,1.8771723595292222,-1.5642714232586639,-1.6593782305889329,2.7607580702651546,0.00045,-0.04602,0.09251,-0.00000,-0.00000,0.00000
3.7645,-1.9546988716951545,-1.9314853302209138,1.8787218335227605,-1.5642714232586639,-1.6593782320923873,2.7607580717687608,0.00000,-0.00046,0.04641,0.00000,-0.00000,0.00000
3.7978,-1.956217511171706,-1.9314854836038031,1.8817746102227093,-1.5642714232586639,-1.659378232107422,2.7592394308037886,-0.04555,-0.00000,0.09156,0.00000,-0.00000,-0.04555
3.8316,-1.9562326975664714,-1.931485485137632,1.8863610609297294,-1.5642714232586639,-1.6593782321075723,2.7592242443941393,-0.00045,-0.00000,0.13570,0.00000,-0.00000,-0.00045
3.8646,-1.956232849430419,-1.9314854851529704,1.8894442073968127,-1.5657900642386706,-1.6593782321075738,2.7592240925300424,-0.00000,-0.00000,0.09352,-0.04607,-0.00000,-0.00000
3.8976,-1.9562328509490587,-1.9314854851531236,1.8909936798414906,-1.5673238916284777,-1.6593782321075738,2.7592240910114016,-0.00000,-0.00000,0.04693,-0.04646,0.00000,-0.00000
3.9311,-1.956232850964245,-1.9314854851531251,1.8970837384859647,-1.5734137938224029,-1.6593782321075738,2.759224090996215,-0.00000,-0.00000,0.18190,-0.18190,0.00000,-0.00000
3.9645,-1.957751491944404,-1.9299668441731181,1.9032192029924364,-1.5795492567643694,-1.6593782321075738,2.7592240909960633,-0.04548,0.04548,0.18376,-0.18376,0.00000,-0.00000
3.9976,-1.9608039603142196,-1.9299516577633182,1.9093551215575284,-1.587203816293823,-1.6593782321075738,2.759224090996062,-0.09203,0.00046,0.18498,-0.23077,0.00000,-0.00000
4.0312,-1.9669090489179444,-1.9314701468792272,1.9139724036831998,-1.5948735667891514,-1.6593782321075738,2.759224090996062,-0.18173,-0.04520,0.13744,-0.22831,0.00000,0.00000
4.0646,-1.9745633047040154,-1.9299666907903792,1.9185744994444769,-1.6025434691941385,-1.6593782321075738,2.759224090996062,-0.22944,0.04507,0.13795,-0.22991,0.00000,0.00000
4.0979,-1.98223305216191,-1.9299516562294907,1.9246950843221167,-1.6102133731182224,-1.6593782321075738,2.759224090996062,-0.23047,0.00045,0.18392,-0.23048,0.00000,0.00000
4.1310,-1.989902954536523,-1.9269142239238688,1.9338681360509338,-1.6194019180375037,-1.6593782321075738,2.757705450016056,-0.23170,0.09176,0.27711,-0.27758,0.00000,-0.04588
4.1655,-2.0036474223803307,-1.9223279266607918,1.9445903534282694,-1.6331615723067578,-1.6593782321075738,2.757690263606256,-0.39793,0.13278,0.31043,-0.39837,0.00000,-0.00044
4.1977,-2.0128967129388093,-1.9222820636881608,1.9538094214820834,-1.642411014729491,-1.6593782321075738,2.75617147076215,-0.28719,0.00142,0.28626,-0.28720,0.00000,-0.04716
4.2312,-2.0205824107444283,-1.9222816050584346,1.9645320990226693,-1.6516153550337591,-1.6593782321075738,2.750081718913683,-0.22941,0.00001,0.32006,-0.27474,0.00000,-0.18177
4.2647,-2.031289754582532,-1.9222816004721373,1.9783070946181358,-1.6623378852968491,-1.6608968730875808,2.7363530525751365,-0.31993,0.00000,0.41159,-0.32039,-0.04538,-0.41021
4.2978,-2.04202731488096,-1.9222816004262744,1.9905939724141448,-1.673075597459528,-1.660912059497381,2.721029356111684,-0.32388,0.00000,0.37061,-0.32388,-0.00046,-0.46221
4.3315,-2.0542838183239986,-1.9222816004258156,2.0028659690321597,-1.683813461441202,-1.660912211361479,2.7041710683669735,-0.36416,0.00000,0.36462,-0.31904,-0.00000,-0.50089
4.3646,-2.0665555111984832,-1.9222816004258112,2.0166564578184003,-1.6930326859610594,-1.659393571900113,2.688816075689459,-0.37053,0.00000,0.41639,-0.27837,0.04585,-0.46363
4.3976,-2.0879392018473233,-1.9222816004258112,2.0350180544663443,-1.7098299289863326,-1.6593783855054993,2.6689201930225956,-0.64810,0.00000,0.55651,-0.50910,0.00046,-0.60301
4.4311,-2.1033394485538794,-1.9222816004258112,2.047350798272878,-1.7191097472966261,-1.659378233641553,2.6550534653758655,-0.45996,0.00000,0.36835,-0.27716,0.00000,-0.41416
4.4644,-2.118679860821013,-1.9222816004258112,2.0596232535509977,-1.7267957503797629,-1.6578595911429066,2.6442843112393506,-0.46034,0.00000,0.36828,-0.23064,0.04557,-0.32316
4.4977,-2.1325010337637456,-1.9222816004258112,2.0703764649638265,-1.7344658153106283,-1.6578444047179202,2.6335461328379393,-0.41455,0.00000,0.32253,-0.23005,0.00046,-0.32208
4.5311,-2.1447883733332267,-1.9222816004258112,2.078077201977989,-1.739098438899957,-1.6578442528536703,2.6273641871338977,-0.36850,0.00000,0.23094,-0.13893,0.00000,-0.18540
4.5644,-2.152504451628955,-1.9222816004258112,2.084228773268157,-1.743700688075871,-1.6578442513350278,2.625783726696851,-0.23135,0.00000,0.18444,-0.13799,0.00000,-0.04739
4.5977,-2.1556188943719268,-1.9222816004258112,2.085808929961066,-1.74374671056763,-1.6578442513198415,2.6257679220924803,-0.09365,0.00000,0.04751,-0.00138,0.00000,-0.00048
4.6310,-2.157168679779363,-1.9238002414058182,2.085824731527995,-1.7437471707925476,-1.6578442513196896,2.625767764046437,-0.04649,-0.04555,0.00047,-0.00001,0.00000,-0.00000
4.6645,-2.1571841776334373,-1.923815427815618,2.085824889543664,-1.7437471753947968,-1.657844251319688,2.6257677624659763,-0.00046,-0.00045,0.00000,-0.00000,0.00000,-0.00000
4.6978,-2.155665691631971,-1.925334220659723,2.087343532103828,-1.7437471754408194,-1.659362892299695,2.6257677624501716,0.04570,-0.04571,0.04571,-0.00000,-0.04571,-0.00000
4.7312,-2.155650506771957,-1.9253494085881642,2.088877359509436,-1.7437471754412794,-1.659378078709495,2.62728640343002,0.00045,-0.00045,0.04590,-0.00000,-0.00045,0.04545
4.7647,-2.1556503549233565,-1.9268682014474556,2.0949672617035193,-1.7422285344612771,-1.6593782305735931,2.6273015898398184,0.00000,-0.04531,0.18168,0.04530,-0.00000,0.00045
4.7978,-2.1556503534048708,-1.9314393123160685,2.104140006605501,-1.7422133480514772,-1.6593782320922341,2.6273017417039166,0.00000,-0.13801,0.27694,0.00046,-0.00000,0.00000
4.8313,-2.1556503533896856,-1.9330036644047615,2.113343579934561,-1.742213196187379,-1.662415514067434,2.6303390251825713,0.00000,-0.04676,0.27513,0.00000,-0.09079,0.09079
4.8646,-2.1556503533895337,-1.9375752308656693,2.1225474615478928,-1.742213194668738,-1.6654831688471994,2.630369398017358,0.00000,-0.13715,0.27613,0.00000,-0.09203,0.00091
