t_rel_s,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6
0.2864,-1.7531886189012664,-1.9360063467207418,1.8194671785488061,-1.4712833852929443,-1.5775960444467263,2.87934179316626
0.2906,-1.753210604074685,-1.9360739853379425,1.8191446557745543,-1.4711922894001108,-1.5776104333814436,2.879302097882899
0.2943,-1.7532316503070005,-1.9361388214713229,1.8188201670408903,-1.4710998933231763,-1.5776242488339625,2.879266099558211
0.2984,-1.7531940432184379,-1.9362009421267874,1.8182823347630106,-1.470917553568467,-1.5775914642277447,2.879352916312282
0.3024,-1.7531584159664084,-1.9362604359476925,1.8177361218274624,-1.470729246128479,-1.5775595364072768,2.8794314906508385
0.3065,-1.7531246299887249,-1.9363173926680348,1.8171875386639311,-1.47053643266186,-1.577528461286298,2.8795027430430777
0.3106,-1.7530925585455528,-1.9363719023942874,1.8166418736995018,-1.470340485243474,-1.5774982327733584,2.879567476433085
0.3144,-1.7530620855479155,-1.9364240550438836,1.8161036799184462,-1.4701426773117274,-1.5774688429876562,2.8796263930875137
0.3187,-1.75303310451778,-1.9364739398643669,1.8155767869140849,-1.4699441775879372,-1.5774402824612164,2.8796801087665136
0.3226,-1.75300551766325,-1.9365216450253488,1.815064332854305,-1.4697460466902525,-1.577412540327625,2.8797291646844823
0.3266,-1.752979235054664,-1.9365672572758676,1.8145688110255764,-1.4695492361274862,-1.5773856044976253,2.8797740376387306
0.3306,-1.7529541738893215,-1.9366108616602062,1.8140921261279828,-1.4693545893392586,-1.577359461821966,2.879815148613833
0.3345,-1.7529297553256944,-1.9366525412863669,1.813436832251912,-1.4690976731064698,-1.5772845010102845,2.8799521563488466
0.3385,-1.7529064369218135,-1.9366923771380036,1.8128051236794016,-1.4688432034364205,-1.5772108910017335,2.880077347298892
0.3424,-1.7528841517643734,-1.9367304479308736,1.8121997763944033,-1.468592379170896,-1.577138729576675,2.8801919809812517
0.3464,-1.7528628379756521,-1.9367668300022296,1.8116227308646873,-1.468346230512212,-1.5770680994211175,2.880297158712103
0.3505,-1.7528424382717285,-1.9368015972319308,1.8110752027646566,-1.4681056272461972,-1.5769990691635056,2.8803938463572134
0.3546,-1.7528228995646897,-1.9368348209904889,1.8105577920847982,-1.4678712887224619,-1.5769316944131913,2.8804828934103552
0.3585,-1.7528041726039383,-1.936866570110353,1.810070586801696,-1.4676437950431251,-1.5768660187881838,2.880565049054833
0.3627,-1.7527862116523016,-1.9368969108771097,1.8096132585496558,-1.467423598980597,-1.5768020749218217,2.880640975735716
0.3665,-1.7527689696016473,-1.936925907037634,1.809292923844192,-1.4671340452462338,-1.5766847532509634,2.8807120935807564
0.3705,-1.7527524116873725,-1.936953619822521,1.8089951318050097,-1.4668531488541405,-1.5765695107915831,2.8807780261717406
0.3744,-1.752736501050282,-1.9369801079805185,1.808718619389122,-1.4665815929501602,-1.5764565769327092,2.880839244804577
0.3784,-1.7527212033290942,-1.9370054278228215,1.8084621167410395,-1.4663198863359397,-1.5763461455284802,2.880896170071518
0.3825,-1.752706486462081,-1.9370296332754482,1.808224367138159,-1.466068382463129,-1.5762383773391686,2.8809491781205234
0.3865,-1.7526923205065894,-1.9370527759380853,1.8080041423482616,-1.4658272980960865,-1.5761334025331426,2.8809986060458135
0.3904,-1.7526786774746457,-1.937074905148015,1.807800254117304,-1.465596731252603,-1.576031323202946,2.881044756543171
0.3945,-1.7526655311830364,-1.9370960680479081,1.807611562436922,-1.4653766781377418,-1.5759322158561795,2.8810879019410796
0.3985,-1.7526528571164421,-1.9371163096564366,1.807436981167459,-1.4651670488771404,-1.575836133848904,2.881128287700412
0.4025,-1.7526406322598833,-1.9371356729408018,1.807170398726077,-1.4649668300245928,-1.5757424910171363,2.8811661425574324
0.4064,-1.752628835113365,-1.9371541988904044,1.8069226015972832,-1.4647766836740495,-1.5756519317616027,2.881201659421337
0.4107,-1.7526174454562398,-1.937171926590998,1.8066924574108891,-1.4645963447423265,-1.575564455308304,2.881235019966196
0.4143,-1.752606444295373,-1.9371888932987678,1.8064788535185143,-1.4644255108433235,-1.5754800461667455,2.8812663890575734
0.4184,-1.7525958137769868,-1.937205134513868,1.8062807082290888,-1.46426385142377,-1.5753986760231042,2.8812959165416085
0.4226,-1.752585537105689,-1.937220684053029,1.8060969790998045,-1.4641110156847277,-1.575320305495013,2.8813237388196433
0.4267,-1.7525755984700369,-1.9372355741209102,1.8059266687851991,-1.4639666393798454,-1.575244885747415,2.881349980236904
0.4306,-1.7525659829740403,-1.9372498353799443,1.8057688288870584,-1.463830350588122,-1.5751723599712233,2.8813747543095896
0.4345,-1.7525566765736775,-1.9372634970184606,1.8056215449475401,-1.4637017660167488,-1.5751026583542236,2.8813981648742457
0.4386,-1.7525476660199721,-1.9372765868169244,1.8054850567528349,-1.4635805210626038,-1.5750357186095303,2.8814203068586575
0.4425,-1.7525389388041104,-1.9372891312121736,1.8053585678374833,-1.4634662466496886,-1.574971467573063,2.881441267334533
0.4463,-1.7525304831083306,-1.9373011553595567,1.805241332908939,-1.4633585808312435,-1.5749098287379737,2.8814611262125784
0.4505,-1.752522287760156,-1.9373126831929157,1.805132656501132,-1.4632571708821482,-1.5748507231242075,2.8814799569218774
0.4544,-1.752514342190071,-1.9373237374823746,1.8050318911919483,-1.4631616749110188,-1.5747940700469718,2.881497827016582
0.4585,-1.7525066363923505,-1.9373343398899192,1.804938435516065,-1.4630717630616654,-1.5747397877917124,2.881514798718549
0.4626,-1.7524991608887825,-1.9373445110227694,1.8048517316788517,-1.4629871183664025,-1.5746877942031372,2.881530929403441
0.4664,-1.7524541566130487,-1.9373542704845599,1.8047712536434872,-1.4628250936679033,-1.5746380071321409,2.8815462720373914
0.4706,-1.7524108444558268,-1.93736363692436,1.804696533855258,-1.46267153339048,-1.574590345067576,2.8815608755670783
0.4744,-1.7523677400729645,-1.9373726280835661,1.804627130939571,-1.4625261295262264,-1.5745447273154571,2.8815747852740174
0.4785,-1.752324923914289,-1.9373812608407186,1.804562637487138,-1.4623885604764162,-1.5745010743807633,2.8815880430915675
0.4824,-1.752282469508845,-1.937389551254291,1.8045026777151492,-1.4622584962760534,-1.5744593082312317,2.881600687891474
0.4864,-1.7522404436764143,-1.937397514603512,1.8044469052176786,-1.4621356030136066,-1.57441935251454,2.881612755742712
0.4908,-1.7521989067665198,-1.9374051654272815,1.8043950008192398,-1.4620195465279135,-1.5743811327340782,2.8816242801456187
0.4944,-1.7521579129195386,-1.9374125175612407,1.8043466705402738,-1.4619099954619794,-1.574344576388108,2.881635292243926
0.4984,-1.7521170844556804,-1.937419584173068,1.8044763996096145,-1.4618058038382586,-1.5743096130760759,2.8816970623641054
0.5028,-1.7520768907595963,-1.9374263777960603,1.8045957835595825,-1.4617075125438728,-1.5742761745792093,2.8817554478298164
0.5064,-1.752037370267846,-1.9374329103610746,1.8047058667914946,-1.4616148108013087,-1.5742441949127286,2.88181070645054
0.5106,-1.751998556263985,-1.9374391932268893,1.8048075681778368,-1.4615273976741925,-1.5742136103593045,2.881863072173541
0.5146,-1.751960477189441,-1.9374452372090563,1.8049016984294808,-1.4614449829843736,-1.5741843594835192,2.8819127576527053
0.5185,-1.751923156953562,-1.9374510526073074,1.804988974757145,-1.4613672879545472,-1.5741563831306224,2.881959956502792
0.5226,-1.7518866152402748,-1.9374566492315795,1.8050700332941332,-1.4612940456200272,-1.5741296244119487,2.8820048452821023
0.5265,-1.7518508678091704,-1.937462036426721,1.8051454396591966,-1.46122500104812,-1.5741040286791024,2.882047585240103
0.5305,-1.7518159267891829,-1.9374672230959413,1.8052156979682084,-1.4611599113987566,-1.5740795434887755,2.8820883238611303
0.5346,-1.751781796352664,-1.93747221772306,1.8054216981107556,-1.4611761266042946,-1.574056118559842,2.8821276200969184
0.5385,-1.751748486888929,-1.9374770283936176,1.8056108884553848,-1.4611913032235528,-1.5740337057242098,2.882165149393346
0.5426,-1.7517160013089048,-1.9374816628148972,1.8057850579965873,-1.4612055214882373,-1.5740122588726408,2.8822010275217615
0.5463,-1.7516843399664925,-1.937486128334916,1.8059457670500259,-1.4612188544407043,-1.5739917338967144,2.882235360917885
0.5505,-1.7516535008980139,-1.9374904319604336,1.8060943811628154,-1.461231368662442,-1.573972088627862,2.882268247556347
0.5545,-1.7516234800490216,-1.937494580374029,1.8062320993408099,-1.4612431249204672,-1.5739532827743257,2.882299777731786
0.5585,-1.751594271488319,-1.937498579950291,1.8063599776493962,-1.461254178741801,-1.5739352778567486,2.882330034757691
0.5624,-1.7515658676091779,-1.9375024367711693,1.8064789490294095,-1.4612645809248144,-1.573918037143025,2.8823590955926943
0.5666,-1.7515382593178581,-1.937506156640528,1.8065898400021996,-1.4612743779950674,-1.5739015255829292,2.882387031402762
0.5706,-1.751511436161835,-1.9375577465220382,1.8068370607378281,-1.4612153364136578,-1.5739415885110908,2.8824139117649756
