t_rel_s,fx,fy,fz,tx,ty,tz
1.8725,-1.15440,3.77836,-0.48824,0.18706,0.08828,0.09301
1.8825,-1.10535,3.77525,-0.59813,0.18599,0.09932,0.09399
1.8924,-0.60714,3.79352,-0.07896,0.19655,0.08361,0.09722
1.9025,-0.92045,3.60075,0.12478,0.19174,0.09209,0.09516
1.9125,-0.69701,3.66042,-0.33965,0.18797,0.08581,0.09819
1.9225,-0.79681,3.86821,-0.52997,0.18056,0.08131,0.09711
1.9326,-0.70560,3.63777,-0.09696,0.19412,0.09139,0.08948
1.9428,-0.65527,3.51104,-0.33379,0.19255,0.08853,0.09538
1.9525,-0.48651,4.00329,-0.52656,0.18516,0.08562,0.09334
1.9626,-0.87327,3.89657,-0.48982,0.18906,0.08615,0.09473
1.9727,-0.64091,3.60421,-0.32586,0.19019,0.08989,0.09457
1.9826,-0.85707,3.62509,-0.02746,0.18655,0.09074,0.09343
1.9928,-0.60730,3.85937,-0.21503,0.19081,0.09206,0.09652
2.0027,-0.87676,3.97034,-0.16716,0.18558,0.09247,0.09332
2.0126,-0.92883,3.94458,-0.44474,0.18935,0.09570,0.09328
2.0222,-1.07558,3.94149,-0.41624,0.18108,0.10290,0.09419
2.0325,-0.99536,3.78702,-0.32333,0.19673,0.09725,0.09761
2.0425,-1.16419,3.61056,-0.51048,0.19254,0.10151,0.10136
2.0525,-0.94805,3.74270,-0.62404,0.18537,0.10274,0.10350
2.0627,-0.86473,3.88895,-0.44273,0.19702,0.09090,0.09832
2.0725,-0.66052,3.67927,-0.77451,0.19330,0.09292,0.10255
2.0827,-0.63049,4.07009,-0.98889,0.18744,0.09119,0.10350
2.0927,-0.58235,4.04143,-0.98549,0.19356,0.08833,0.09732
2.1026,-0.49582,4.00753,-0.85814,0.19178,0.10616,0.10386
2.1125,-0.74468,3.94962,-0.86550,0.18597,0.09989,0.10235
2.1224,-0.31517,3.86106,-1.12721,0.19075,0.09940,0.11298
2.1324,-0.46361,3.78399,-1.13796,0.18597,0.10049,0.11152
2.1424,-0.73346,3.79122,-1.04661,0.18221,0.10028,0.10786
2.1527,-0.44396,3.64158,-1.15855,0.17740,0.09654,0.11297
2.1629,-0.64920,3.66115,-1.14627,0.18199,0.09937,0.11208
2.1724,-0.28739,3.98084,-1.36655,0.18773,0.09255,0.10963
2.1824,-0.54273,3.60583,-1.04683,0.18805,0.08166,0.11312
2.1929,-0.14026,3.69006,-1.23389,0.19161,0.09675,0.10612
2.2027,0.13218,3.71739,-1.09090,0.18257,0.11759,0.11847
2.2125,-0.20710,3.58274,-0.92357,0.19569,0.10067,0.11310
2.2226,-0.12003,3.52098,-0.99324,0.17777,0.10543,0.11198
2.2327,0.20310,3.43843,-0.74315,0.18768,0.12044,0.11279
2.2427,-0.48156,3.49281,-0.58682,0.18429,0.09315,0.11064
2.2526,0.35323,3.97610,-0.90902,0.18780,0.10739,0.11366
2.2627,-0.52799,3.47275,-0.48947,0.18353,0.09638,0.10898
2.2725,0.08805,3.52094,-0.58894,0.17876,0.12705,0.10866
2.2832,-0.67491,3.94446,-0.73689,0.17606,0.08555,0.11223
2.2928,0.86216,3.58026,0.01055,0.19156,0.15530,0.10831
2.3025,0.76717,3.87735,0.34037,0.17650,0.13743,0.11502
2.3126,1.03383,3.01707,0.43485,0.20521,0.14836,0.11979
2.3225,-0.05585,3.75931,0.28748,0.18930,0.11721,0.11738
2.3327,1.07459,2.76026,1.16030,0.21131,0.17227,0.11909
2.3424,-0.80276,3.33013,1.16225,0.20186,0.08044,0.11524
2.3526,-0.25414,3.60258,1.00469,0.19361,0.12616,0.12059
2.3626,-0.77687,3.54953,1.74173,0.18879,0.10405,0.11817
2.3725,-0.28180,3.21284,2.12299,0.20592,0.13192,0.12279
2.3827,-0.43551,4.10749,1.31035,0.17995,0.12766,0.11539
2.3926,-0.39041,3.81331,1.89901,0.18708,0.14005,0.11734
2.4026,-1.90009,3.46958,1.95702,0.20025,0.07192,0.12015
2.4126,-1.03036,3.50054,1.33932,0.21751,0.11123,0.11990
2.4223,-2.25154,3.63317,0.77556,0.20754,0.06330,0.11839
2.4323,-1.43392,3.15285,1.61343,0.21274,0.10248,0.11822
2.4427,-2.15285,3.93967,1.11605,0.19680,0.07019,0.12388
2.4524,-1.24503,3.40497,0.90141,0.20894,0.08041,0.12005
2.4625,-1.82194,4.27336,-0.01570,0.18105,0.08604,0.11832
2.4725,-1.97349,3.37525,0.47635,0.21858,0.07582,0.11374
2.4826,-2.33763,4.20627,-0.19273,0.19407,0.04108,0.12490
2.4925,-1.88868,3.73690,-0.13299,0.19570,0.09265,0.12413
2.5028,-2.31729,2.80231,0.75341,0.22913,0.06536,0.10872
2.5127,-2.10276,4.34649,-0.00887,0.18149,0.08268,0.11463
2.5226,-2.09255,4.13675,-0.42765,0.20415,0.06483,0.12072
2.5325,-2.42479,3.40551,-0.27596,0.23420,0.05156,0.10925
2.5425,-2.17043,3.89992,-0.98928,0.21772,0.08292,0.10718
2.5528,-1.66392,3.07280,-0.42284,0.22864,0.09092,0.11046
2.5624,-2.32420,4.94820,-1.20593,0.17393,0.05520,0.10748
2.5726,-1.35824,3.84471,-0.82684,0.21283,0.10112,0.11518
2.5825,-1.73157,3.73438,-1.17949,0.21758,0.07107,0.10539
2.5926,-0.88531,4.58174,-1.75197,0.19476,0.08757,0.11564
2.6030,-1.49278,3.65657,-1.79567,0.22935,0.09067,0.10986
2.6124,-1.15487,4.56381,-3.11552,0.19292,0.10155,0.10840
2.6228,-1.67814,3.94082,-3.38623,0.20169,0.07729,0.10785
2.6325,-1.34867,3.79124,-4.04645,0.21496,0.08176,0.10631
2.6428,-0.93719,3.09737,-4.04069,0.23862,0.09869,0.10905
2.6524,-0.94852,3.73237,-3.84022,0.22073,0.10970,0.11069
2.6628,-1.06924,4.05817,-4.31835,0.21667,0.10969,0.10793
2.6724,-1.41909,3.74496,-4.72337,0.22247,0.09182,0.10681
2.6825,-0.83857,3.46684,-3.81878,0.22587,0.11061,0.10419
2.6926,-0.90824,3.66472,-3.74284,0.23392,0.10481,0.10399
2.7026,-0.89602,3.87833,-3.98764,0.21538,0.09181,0.09460
2.7125,-0.94882,4.02661,-3.63645,0.21461,0.11424,0.07581
2.7225,-0.67730,3.69217,-3.60531,0.22270,0.11948,0.06129
2.7324,-0.87434,3.86620,-3.72344,0.23029,0.12107,0.02942
2.7424,-0.77064,3.18282,-3.20928,0.24029,0.11305,0.00675
2.7524,-0.73310,4.31467,-3.07060,0.20941,0.11862,-0.01491
2.7630,-0.63899,2.88412,-2.05186,0.25186,0.10609,-0.04071
2.7725,-0.57290,3.74963,-2.32086,0.24068,0.12513,-0.06513
2.7829,-0.70165,3.87360,-2.01434,0.23675,0.12076,-0.09450
2.7927,-0.42940,3.32210,-1.62574,0.24792,0.11349,-0.09629
2.8027,-0.58535,3.54051,-1.26826,0.24257,0.13050,-0.10385
2.8128,-0.68639,4.04365,-1.35516,0.23714,0.11815,-0.09842
2.8223,-0.44227,3.99374,-1.17339,0.22865,0.11334,-0.10080
2.8324,-0.66643,4.33592,-0.82921,0.22928,0.12527,-0.09554
2.8427,-0.93018,4.47936,-0.47464,0.22592,0.12251,-0.09468
2.8525,-0.80809,4.95920,-0.02382,0.21006,0.12167,-0.10569
2.8628,-0.32953,4.88537,0.03439,0.20341,0.11637,-0.09454
2.8729,-0.95139,5.48527,-0.51530,0.19463,0.10716,-0.10210
2.8823,-0.92313,5.33078,-0.39290,0.19392,0.10415,-0.09524
2.8929,-1.13600,5.14754,-0.98213,0.20295,0.11335,-0.09687
2.9026,-1.00505,5.50996,-1.83564,0.19557,0.10185,-0.10006
2.9126,-1.03368,5.12832,-1.32340,0.20097,0.09532,-0.09512
2.9228,-0.98269,5.14135,-1.40021,0.19308,0.11806,-0.09946
