t_rel_s,x,y,z,qx,qy,qz,qw
1.0131,-0.069375,0.353091,0.506257,-0.042772,0.999004,0.010993,0.006357
1.0224,-0.069347,0.352597,0.505980,-0.042920,0.998991,0.011412,0.006667
1.0325,-0.069324,0.352104,0.505629,-0.043023,0.998980,0.011816,0.006962
1.0424,-0.069320,0.351595,0.505224,-0.043149,0.998968,0.012174,0.007231
1.0524,-0.069319,0.351076,0.504779,-0.043219,0.998959,0.012522,0.007497
1.0624,-0.069314,0.350549,0.504262,-0.043291,0.998950,0.012810,0.007775
1.0726,-0.069339,0.350059,0.503666,-0.043369,0.998942,0.013033,0.007981
1.0829,-0.069326,0.349557,0.503027,-0.043353,0.998939,0.013176,0.008217
1.0925,-0.069353,0.349079,0.502297,-0.043412,0.998934,0.013255,0.008403
1.1026,-0.069370,0.348632,0.501484,-0.043408,0.998933,0.013246,0.008555
1.1126,-0.069404,0.348201,0.500574,-0.043443,0.998931,0.013130,0.008731
1.1226,-0.069457,0.347788,0.499608,-0.043454,0.998933,0.012958,0.008812
1.1325,-0.069481,0.347422,0.498587,-0.043419,0.998936,0.012733,0.008905
1.1425,-0.069524,0.347068,0.497517,-0.043450,0.998938,0.012413,0.009001
1.1525,-0.069557,0.346742,0.496429,-0.043454,0.998941,0.012094,0.009068
1.1628,-0.069584,0.346460,0.495296,-0.043439,0.998947,0.011668,0.009097
1.1724,-0.069617,0.346186,0.494211,-0.043469,0.998949,0.011273,0.009164
1.1826,-0.069632,0.345952,0.493103,-0.043462,0.998954,0.010815,0.009194
1.1928,-0.069648,0.345722,0.492067,-0.043464,0.998958,0.010417,0.009224
1.2026,-0.069671,0.345523,0.491009,-0.043473,0.998963,0.009934,0.009237
1.2129,-0.069691,0.345309,0.489985,-0.043460,0.998968,0.009454,0.009249
1.2227,-0.069696,0.345119,0.488962,-0.043474,0.998972,0.008909,0.009246
1.2323,-0.069716,0.344917,0.487939,-0.043484,0.998977,0.008347,0.009224
1.2426,-0.069717,0.344710,0.486976,-0.043457,0.998982,0.007799,0.009236
1.2528,-0.069738,0.344481,0.486049,-0.043479,0.998985,0.007239,0.009241
1.2626,-0.069761,0.344245,0.485182,-0.043471,0.998989,0.006736,0.009220
1.2726,-0.069777,0.343989,0.484312,-0.043482,0.998993,0.006166,0.009215
1.2825,-0.069805,0.343705,0.483526,-0.043493,0.998995,0.005663,0.009240
1.2925,-0.069832,0.343404,0.482778,-0.043482,0.998998,0.005163,0.009240
1.3028,-0.069855,0.343090,0.482116,-0.043512,0.998998,0.004723,0.009296
1.3125,-0.069871,0.342756,0.481515,-0.043506,0.999000,0.004347,0.009371
1.3229,-0.069905,0.342398,0.481038,-0.043516,0.999000,0.004070,0.009451
1.3325,-0.069920,0.342037,0.480630,-0.043541,0.998998,0.003839,0.009575
1.3426,-0.069936,0.341678,0.480348,-0.043526,0.998998,0.003735,0.009741
1.3525,-0.069947,0.341319,0.480145,-0.043526,0.998996,0.003681,0.009901
1.3624,-0.069947,0.340952,0.480029,-0.043492,0.998996,0.003682,0.010084
1.3725,-0.069951,0.340611,0.479977,-0.043469,0.998995,0.003752,0.010247
1.3829,-0.069933,0.340303,0.480047,-0.043420,0.998995,0.003945,0.010446
1.3927,-0.069908,0.339999,0.480160,-0.043360,0.998994,0.004162,0.010677
1.4025,-0.069877,0.339734,0.480362,-0.043295,0.998993,0.004475,0.010876
1.4129,-0.069831,0.339502,0.480611,-0.043198,0.998993,0.004822,0.011077
1.4227,-0.069757,0.339315,0.480920,-0.043082,0.998994,0.005210,0.011315
1.4324,-0.069659,0.339130,0.481293,-0.042928,0.998995,0.005663,0.011562
1.4426,-0.069545,0.338974,0.481673,-0.042749,0.998998,0.006102,0.011757
1.4528,-0.069394,0.338848,0.482055,-0.042528,0.999002,0.006512,0.011974
1.4630,-0.069226,0.338745,0.482474,-0.042262,0.999008,0.006962,0.012176
1.4726,-0.069007,0.338674,0.482886,-0.041936,0.999016,0.007383,0.012366
1.4833,-0.068772,0.338622,0.483309,-0.041587,0.999026,0.007799,0.012547
1.4924,-0.068507,0.338585,0.483767,-0.041181,0.999037,0.008261,0.012706
1.5024,-0.068198,0.338589,0.484235,-0.040726,0.999049,0.008729,0.012873
1.5127,-0.067848,0.338605,0.484760,-0.040211,0.999063,0.009254,0.013048
1.5227,-0.067496,0.338636,0.485297,-0.039686,0.999077,0.009778,0.013225
1.5323,-0.067129,0.338680,0.485886,-0.039146,0.999090,0.010359,0.013376
1.5425,-0.066723,0.338763,0.486482,-0.038548,0.999105,0.010924,0.013560
1.5528,-0.066330,0.338824,0.487128,-0.037970,0.999118,0.011563,0.013722
1.5624,-0.065916,0.338912,0.487816,-0.037361,0.999130,0.012239,0.013911
1.5726,-0.065509,0.339012,0.488547,-0.036758,0.999141,0.012942,0.014080
1.5827,-0.065096,0.339131,0.489296,-0.036169,0.999150,0.013673,0.014296
1.5925,-0.064708,0.339231,0.490088,-0.035601,0.999156,0.014438,0.014512
1.6027,-0.064306,0.339354,0.490856,-0.035027,0.999163,0.015188,0.014706
1.6125,-0.063912,0.339469,0.491652,-0.034492,0.999167,0.015928,0.014905
1.6230,-0.063552,0.339589,0.492465,-0.033968,0.999169,0.016716,0.015102
1.6328,-0.063183,0.339716,0.493246,-0.033460,0.999170,0.017463,0.015306
1.6431,-0.062823,0.339843,0.493995,-0.032955,0.999171,0.018176,0.015505
1.6526,-0.062490,0.339969,0.494723,-0.032476,0.999172,0.018862,0.015675
1.6628,-0.062148,0.340090,0.495436,-0.032021,0.999170,0.019534,0.015858
1.6729,-0.061835,0.340216,0.496076,-0.031579,0.999170,0.020142,0.016025
1.6829,-0.061527,0.340346,0.496689,-0.031167,0.999169,0.020717,0.016168
1.6925,-0.061232,0.340470,0.497273,-0.030785,0.999167,0.021259,0.016319
1.7024,-0.060977,0.340577,0.497833,-0.030449,0.999163,0.021786,0.016452
1.7128,-0.060725,0.340678,0.498325,-0.030134,0.999160,0.022255,0.016585
1.7229,-0.060467,0.340781,0.498779,-0.029787,0.999159,0.022680,0.016706
1.7324,-0.060248,0.340875,0.499164,-0.029493,0.999158,0.023034,0.016798
1.7426,-0.060047,0.340964,0.499549,-0.029244,0.999156,0.023393,0.016896
1.7526,-0.059853,0.341040,0.499858,-0.029024,0.999154,0.023669,0.016997
1.7627,-0.059692,0.341109,0.500118,-0.028814,0.999153,0.023913,0.017041
1.7725,-0.059534,0.341178,0.500333,-0.028605,0.999154,0.024106,0.017083
1.7825,-0.059386,0.341246,0.500539,-0.028427,0.999154,0.024315,0.017114
1.7927,-0.059249,0.341302,0.500709,-0.028264,0.999154,0.024465,0.017157
1.8031,-0.059113,0.341359,0.500809,-0.028102,0.999156,0.024541,0.017168
1.8124,-0.059018,0.341396,0.500933,-0.027958,0.999157,0.024673,0.017168
1.8229,-0.058906,0.341465,0.500989,-0.027842,0.999160,0.024710,0.017157
1.8324,-0.058805,0.341516,0.501028,-0.027719,0.999162,0.024742,0.017159
1.8425,-0.058721,0.341567,0.501065,-0.027625,0.999164,0.024792,0.017135
1.8524,-0.058626,0.341618,0.501070,-0.027510,0.999167,0.024812,0.017120
1.8625,-0.058546,0.341661,0.501053,-0.027413,0.999170,0.024808,0.017099
1.8726,-0.058477,0.341704,0.501016,-0.027312,0.999174,0.024783,0.017049
1.8825,-0.058400,0.341766,0.501000,-0.027235,0.999176,0.024795,0.017042
1.8925,-0.058321,0.341819,0.500979,-0.027130,0.999180,0.024764,0.017012
1.9029,-0.058236,0.341869,0.501034,-0.027053,0.999180,0.024844,0.017039
1.9126,-0.058161,0.341936,0.501133,-0.026986,0.999178,0.024966,0.017055
1.9225,-0.058070,0.342000,0.501259,-0.026883,0.999176,0.025127,0.017101
1.9327,-0.057979,0.342079,0.501402,-0.026806,0.999174,0.025269,0.017134
1.9429,-0.057872,0.342165,0.501567,-0.026681,0.999172,0.025440,0.017192
1.9526,-0.057783,0.342247,0.501795,-0.026599,0.999167,0.025700,0.017235
1.9627,-0.057669,0.342328,0.501984,-0.026479,0.999164,0.025899,0.017308
1.9728,-0.057576,0.342407,0.502264,-0.026413,0.999157,0.026192,0.017389
1.9827,-0.057446,0.342516,0.502568,-0.026281,0.999151,0.026485,0.017459
1.9929,-0.057333,0.342612,0.502890,-0.026227,0.999142,0.026812,0.017558
2.0029,-0.057217,0.342709,0.503235,-0.026139,0.999134,0.027143,0.017659
2.0128,-0.057084,0.342816,0.503637,-0.026059,0.999123,0.027548,0.017772
2.0225,-0.056927,0.342909,0.504067,-0.025962,0.999112,0.027955,0.017903
2.0325,-0.056774,0.343013,0.504474,-0.025905,0.999100,0.028340,0.018017
2.0426,-0.056613,0.343117,0.504937,-0.025887,0.999086,0.028778,0.018158
2.0526,-0.056439,0.343215,0.505429,-0.025894,0.999069,0.029248,0.018302
2.0628,-0.056240,0.343331,0.505870,-0.025917,0.999054,0.029640,0.018462
2.0727,-0.056033,0.343430,0.506352,-0.025948,0.999037,0.030097,0.018608
2.0825,-0.055819,0.343535,0.506809,-0.026060,0.999019,0.030514,0.018744
2.0923,-0.055578,0.343623,0.507269,-0.026155,0.999000,0.030947,0.018917
2.1026,-0.055310,0.343719,0.507704,-0.026294,0.998981,0.031345,0.019057
2.1127,-0.055017,0.343816,0.508123,-0.026447,0.998962,0.031732,0.019218
2.1229,-0.054707,0.343904,0.508513,-0.026647,0.998943,0.032072,0.019350
2.1325,-0.054361,0.344008,0.508857,-0.026859,0.998925,0.032380,0.019489
2.1426,-0.053995,0.344105,0.509171,-0.027072,0.998908,0.032650,0.019619
2.1528,-0.053596,0.344187,0.509494,-0.027307,0.998889,0.032931,0.019752
2.1630,-0.053171,0.344286,0.509761,-0.027483,0.998874,0.033157,0.019886
2.1725,-0.052721,0.344376,0.509993,-0.027676,0.998860,0.033349,0.020005
2.1825,-0.052240,0.344471,0.510191,-0.027846,0.998848,0.033509,0.020122
2.1926,-0.051711,0.344577,0.510343,-0.027994,0.998838,0.033602,0.020250
2.2025,-0.051138,0.344675,0.510505,-0.028043,0.998830,0.033716,0.020358
2.2126,-0.050507,0.344777,0.510616,-0.028087,0.998825,0.033772,0.020498
2.2227,-0.049821,0.344881,0.510737,-0.028044,0.998821,0.033828,0.020647
2.2324,-0.049084,0.344999,0.510792,-0.027966,0.998820,0.033814,0.020793
2.2427,-0.048282,0.345106,0.510878,-0.027840,0.998819,0.033832,0.020996
2.2524,-0.047430,0.345223,0.510930,-0.027617,0.998823,0.033783,0.021177
2.2624,-0.046526,0.345336,0.510983,-0.027358,0.998826,0.033745,0.021412
2.2726,-0.045558,0.345455,0.511037,-0.026980,0.998833,0.033693,0.021676
2.2827,-0.044535,0.345571,0.511113,-0.026542,0.998838,0.033667,0.021996
2.2925,-0.043450,0.345691,0.511196,-0.026023,0.998846,0.033605,0.022345
2.3026,-0.042223,0.345833,0.511321,-0.025358,0.998855,0.033535,0.022847
2.3127,-0.040902,0.345954,0.511579,-0.024627,0.998857,0.033566,0.023490
2.3226,-0.039496,0.346096,0.511956,-0.023780,0.998856,0.033672,0.024247
2.3328,-0.038016,0.346229,0.512426,-0.022919,0.998849,0.033798,0.025177
2.3425,-0.036457,0.346362,0.513090,-0.021998,0.998831,0.034066,0.026292
2.3527,-0.034878,0.346477,0.513927,-0.021043,0.998805,0.034452,0.027543
2.3626,-0.033260,0.346611,0.514898,-0.020145,0.998767,0.034917,0.028971
2.3726,-0.031617,0.346722,0.516073,-0.019203,0.998718,0.035495,0.030563
2.3828,-0.029978,0.346824,0.517430,-0.018343,0.998654,0.036229,0.032278
2.3927,-0.028338,0.346918,0.518972,-0.017541,0.998575,0.037041,0.034166
2.4023,-0.026700,0.346981,0.520738,-0.016785,0.998480,0.037999,0.036221
2.4127,-0.025124,0.347038,0.522731,-0.016162,0.998365,0.039105,0.038422
2.4226,-0.023619,0.347081,0.524849,-0.015650,0.998237,0.040254,0.040725
2.4324,-0.022178,0.347095,0.527109,-0.015273,0.998093,0.041450,0.043107
2.4427,-0.020810,0.347080,0.529517,-0.014999,0.997934,0.042722,0.045592
2.4524,-0.019535,0.347039,0.532100,-0.014779,0.997760,0.044145,0.048037
2.4626,-0.018344,0.346975,0.534764,-0.014639,0.997574,0.045627,0.050502
2.4727,-0.017245,0.346870,0.537512,-0.014615,0.997378,0.047098,0.052963
2.4827,-0.016231,0.346770,0.540313,-0.014635,0.997172,0.048630,0.055391
2.4926,-0.015336,0.346629,0.543167,-0.014754,0.996961,0.050183,0.057722
2.5030,-0.014538,0.346463,0.546097,-0.014919,0.996742,0.051743,0.060042
2.5129,-0.013858,0.346265,0.549088,-0.015231,0.996512,0.053395,0.062297
2.5227,-0.013268,0.346060,0.552117,-0.015535,0.996280,0.055027,0.064467
2.5325,-0.012787,0.345818,0.555137,-0.015873,0.996049,0.056660,0.066509
2.5426,-0.012397,0.345566,0.558165,-0.016230,0.995819,0.058298,0.068431
2.5526,-0.012099,0.345296,0.561195,-0.016564,0.995590,0.059980,0.070198
2.5625,-0.011884,0.345021,0.564202,-0.016921,0.995362,0.061683,0.071858
2.5725,-0.011725,0.344729,0.567212,-0.017253,0.995136,0.063408,0.073397
2.5826,-0.011627,0.344457,0.570161,-0.017541,0.994914,0.065145,0.074795
2.5924,-0.011574,0.344197,0.573045,-0.017792,0.994700,0.066856,0.076059
2.6027,-0.011573,0.343936,0.575862,-0.018055,0.994492,0.068539,0.077217
2.6125,-0.011587,0.343702,0.578530,-0.018258,0.994294,0.070146,0.078261
2.6229,-0.011623,0.343506,0.581016,-0.018454,0.994116,0.071621,0.079143
2.6323,-0.011681,0.343329,0.583283,-0.018601,0.993955,0.072966,0.079891
2.6425,-0.011739,0.343209,0.585295,-0.018733,0.993820,0.074106,0.080492
2.6525,-0.011774,0.343168,0.587014,-0.018864,0.993709,0.075035,0.080970
2.6629,-0.011802,0.343169,0.588513,-0.018931,0.993620,0.075823,0.081312
2.6726,-0.011799,0.343224,0.589719,-0.018972,0.993555,0.076382,0.081578
2.6826,-0.011799,0.343328,0.590637,-0.019000,0.993518,0.076726,0.081691
2.6927,-0.011765,0.343516,0.591300,-0.019030,0.993504,0.076884,0.081709
2.7028,-0.011714,0.343774,0.591689,-0.019042,0.993513,0.076835,0.081647
2.7126,-0.011614,0.344113,0.591831,-0.019055,0.993549,0.076549,0.081468
2.7226,-0.011511,0.344506,0.591770,-0.019082,0.993600,0.076125,0.081235
2.7325,-0.011363,0.344998,0.591476,-0.019091,0.993675,0.075487,0.080910
2.7425,-0.011190,0.345576,0.590983,-0.019116,0.993766,0.074684,0.080536
2.7524,-0.011003,0.346237,0.590296,-0.019156,0.993875,0.073737,0.080048
2.7631,-0.010781,0.346964,0.589450,-0.019198,0.993999,0.072595,0.079543
2.7726,-0.010533,0.347781,0.588491,-0.019246,0.994131,0.071385,0.078975
2.7830,-0.010278,0.348644,0.587464,-0.019286,0.994266,0.070128,0.078391
2.7928,-0.009999,0.349564,0.586317,-0.019313,0.994410,0.068747,0.077775
2.8023,-0.009719,0.350522,0.585128,-0.019385,0.994556,0.067330,0.077130
2.8124,-0.009426,0.351497,0.583918,-0.019411,0.994700,0.065924,0.076482
2.8230,-0.009132,0.352497,0.582658,-0.019482,0.994846,0.064441,0.075819
2.8324,-0.008854,0.353457,0.581421,-0.019542,0.994987,0.063007,0.075160
2.8428,-0.008550,0.354422,0.580166,-0.019603,0.995126,0.061531,0.074528
2.8526,-0.008280,0.355328,0.578963,-0.019642,0.995256,0.060154,0.073906
2.8629,-0.008035,0.356179,0.577811,-0.019701,0.995378,0.058852,0.073283
2.8726,-0.007807,0.356965,0.576687,-0.019759,0.995492,0.057621,0.072700
2.8825,-0.007593,0.357695,0.575559,-0.019818,0.995601,0.056409,0.072133
2.8927,-0.007421,0.358343,0.574450,-0.019898,0.995706,0.055242,0.071569
2.9023,-0.007248,0.358947,0.573244,-0.019946,0.995814,0.054023,0.070987
2.9127,-0.007113,0.359474,0.572021,-0.020036,0.995919,0.052819,0.070392
2.9229,-0.006986,0.359952,0.570707,-0.020087,0.996027,0.051562,0.069769
2.9325,-0.006887,0.360375,0.569354,-0.020174,0.996133,0.050305,0.069154
2.9428,-0.006801,0.360750,0.567906,-0.020259,0.996242,0.048966,0.068506
2.9528,-0.006718,0.361102,0.566436,-0.020326,0.996350,0.047629,0.067857
2.9627,-0.006656,0.361381,0.564927,-0.020414,0.996455,0.046281,0.067217
2.9725,-0.006613,0.361627,0.563349,-0.020494,0.996562,0.044902,0.066536
2.9826,-0.006569,0.361833,0.561780,-0.020547,0.996666,0.043530,0.065880
2.9924,-0.006551,0.362006,0.560192,-0.020636,0.996766,0.042180,0.065212
3.0026,-0.006527,0.362154,0.558569,-0.020698,0.996866,0.040800,0.064545
3.0125,-0.006516,0.362264,0.556888,-0.020784,0.996965,0.039360,0.063873
3.0226,-0.006494,0.362364,0.555196,-0.020836,0.997062,0.037931,0.063196
3.0324,-0.006500,0.362442,0.553481,-0.020929,0.997157,0.036498,0.062514
3.0427,-0.006493,0.362513,0.551728,-0.021009,0.997251,0.035000,0.061831
3.0527,-0.006499,0.362579,0.550001,-0.021098,0.997341,0.033564,0.061147
3.0625,-0.006479,0.362647,0.548234,-0.021167,0.997429,0.032070,0.060493
3.0727,-0.006466,0.362727,0.546504,-0.021241,0.997514,0.030618,0.059812
3.0829,-0.006450,0.362802,0.544780,-0.021332,0.997595,0.029140,0.059161
3.0927,-0.006411,0.362926,0.543046,-0.021414,0.997675,0.027653,0.058499
3.1025,-0.006358,0.363094,0.541344,-0.021500,0.997749,0.026199,0.057873
3.1128,-0.006283,0.363289,0.539633,-0.021564,0.997822,0.024704,0.057242
3.1226,-0.006204,0.363542,0.537983,-0.021654,0.997890,0.023280,0.056611
3.1324,-0.006087,0.363840,0.536362,-0.021710,0.997954,0.021871,0.056019
3.1425,-0.005961,0.364157,0.534797,-0.021796,0.998012,0.020514,0.055468
3.1524,-0.005819,0.364507,0.533278,-0.021836,0.998068,0.019204,0.054914
3.1626,-0.005634,0.364890,0.531837,-0.021871,0.998116,0.017977,0.054429
3.1724,-0.005455,0.365281,0.530449,-0.021882,0.998161,0.016838,0.053968
3.1830,-0.005252,0.365682,0.529147,-0.021868,0.998202,0.015772,0.053539
3.1926,-0.005025,0.366093,0.527889,-0.021855,0.998236,0.014785,0.053177
3.2027,-0.004782,0.366495,0.526700,-0.021824,0.998268,0.013928,0.052834
3.2126,-0.004506,0.366901,0.525545,-0.021724,0.998297,0.013139,0.052527
3.2226,-0.004196,0.367293,0.524462,-0.021556,0.998323,0.012475,0.052260
3.2324,-0.003852,0.367677,0.523413,-0.021354,0.998346,0.011889,0.052040
3.2430,-0.003454,0.368024,0.522409,-0.021071,0.998367,0.011383,0.051854
3.2526,-0.003036,0.368356,0.521486,-0.020729,0.998385,0.011017,0.051724
3.2629,-0.002577,0.368693,0.520587,-0.020332,0.998404,0.010706,0.051593
3.2729,-0.002072,0.368993,0.519731,-0.019835,0.998419,0.010488,0.051535
3.2826,-0.001538,0.369266,0.518936,-0.019293,0.998433,0.010338,0.051499
3.2925,-0.000976,0.369533,0.518182,-0.018714,0.998446,0.010292,0.051480
