t_rel_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,eff1,eff2,eff3,eff4,eff5,eff6
1.0127,-1.754462,-1.949642,1.833114,-1.478093,-1.577843,2.873473,-0.021138,-0.148892,0.177527,-0.129009,-0.040078,-0.055248,-0.7733,-1.7984,-0.7754,-0.5232,-0.2089,-0.1785
1.0222,-1.754689,-1.951210,1.835009,-1.479379,-1.578247,2.872937,-0.020852,-0.154347,0.194285,-0.133789,-0.040417,-0.049021,-0.7940,-1.7922,-0.5936,-0.5474,-0.1964,-0.1720
1.0323,-1.754908,-1.952785,1.837088,-1.480805,-1.578631,2.872500,-0.020315,-0.158843,0.211642,-0.143151,-0.040556,-0.043363,-0.8256,-1.7100,-0.7218,-0.5485,-0.1978,-0.1881
1.0422,-1.755088,-1.954384,1.839289,-1.482229,-1.578984,2.872056,-0.019275,-0.159120,0.225533,-0.146576,-0.037986,-0.039044,-0.7775,-1.6098,-0.6790,-0.5580,-0.2179,-0.1867
1.0526,-1.755267,-1.956013,1.841603,-1.483713,-1.579336,2.871723,-0.017914,-0.162295,0.237170,-0.153060,-0.034885,-0.033414,-0.7900,-1.3994,-0.6962,-0.5216,-0.2387,-0.1860
1.0628,-1.755447,-1.957650,1.844075,-1.485237,-1.579738,2.871387,-0.016699,-0.156501,0.249164,-0.155226,-0.035205,-0.029815,-0.7819,-1.3468,-0.5385,-0.4772,-0.2233,-0.1607
1.0723,-1.755553,-1.959167,1.846633,-1.486807,-1.580032,2.871115,-0.014998,-0.151613,0.262374,-0.155294,-0.033595,-0.024027,-0.7240,-1.3558,-0.8290,-0.5166,-0.2259,-0.1496
1.0826,-1.755747,-1.960697,1.849270,-1.488299,-1.580418,2.870942,-0.013415,-0.145040,0.266202,-0.156308,-0.034440,-0.018809,-0.7845,-1.2803,-0.6426,-0.5137,-0.1928,-0.1641
1.0922,-1.755832,-1.962140,1.852047,-1.489874,-1.580739,2.870730,-0.010749,-0.136290,0.283433,-0.155020,-0.033040,-0.014917,-0.6488,-1.1261,-0.4584,-0.5215,-0.2005,-0.1661
1.1023,-1.755935,-1.963483,1.854929,-1.491466,-1.581035,2.870626,-0.006844,-0.130361,0.292984,-0.162251,-0.033015,-0.011167,-0.6306,-1.1032,-0.5357,-0.4578,-0.1883,-0.1361
