t_rel_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,eff1,eff2,eff3,eff4,eff5,eff6
1.1123,-1.755951,-1.964736,1.857951,-1.493089,-1.581426,2.870533,-0.003368,-0.121278,0.304293,-0.160390,-0.032920,-0.005786,-0.6005,-1.1444,-0.6060,-0.5110,-0.1547,-0.1486
1.1223,-1.755948,-1.965920,1.861034,-1.494689,-1.581659,2.870509,-0.001234,-0.112057,0.312313,-0.163435,-0.030483,-0.001818,-0.4858,-1.1264,-0.6434,-0.5174,-0.1954,-0.1188
1.1323,-1.755990,-1.966980,1.864159,-1.496357,-1.581940,2.870532,-0.000193,-0.105134,0.316036,-0.164917,-0.030016,-0.000802,-0.3741,-1.0801,-0.6781,-0.5069,-0.2013,-0.1060
1.1423,-1.755955,-1.967953,1.867312,-1.497958,-1.582270,2.870501,-0.000000,-0.093896,0.315398,-0.165590,-0.029529,-0.000459,-0.1925,-1.1105,-0.8286,-0.5531,-0.2016,-0.0645
1.1524,-1.755951,-1.968861,1.870465,-1.499611,-1.582544,2.870494,0.001683,-0.083196,0.313473,-0.158055,-0.028335,-0.000054,-0.1799,-1.1704,-0.9584,-0.5624,-0.2292,-0.0293
1.1624,-1.755947,-1.969608,1.873583,-1.501164,-1.582792,2.870528,0.001593,-0.075684,0.306173,-0.160319,-0.027043,-0.000000,-0.0212,-1.2362,-0.9491,-0.5133,-0.2118,0.0198
1.1723,-1.755904,-1.970330,1.876580,-1.502700,-1.583099,2.870509,0.001934,-0.067651,0.297981,-0.151012,-0.027597,0.001327,0.0404,-1.2131,-1.1816,-0.5452,-0.2017,0.0200
1.1824,-1.755907,-1.970925,1.879529,-1.504176,-1.583362,2.870521,0.002361,-0.060258,0.288776,-0.145613,-0.024913,0.002278,0.1583,-1.2614,-1.2992,-0.5387,-0.2215,0.0381
1.1925,-1.755911,-1.971522,1.882324,-1.505612,-1.583599,2.870514,0.001990,-0.053611,0.279005,-0.137942,-0.025946,0.001569,0.1864,-1.2674,-1.1277,-0.5089,-0.2000,0.0213
1.2023,-1.755875,-1.971985,1.885051,-1.506940,-1.583843,2.870533,0.001706,-0.049780,0.268329,-0.126572,-0.024854,0.001320,0.1754,-1.1812,-1.0171,-0.5198,-0.1884,0.0149
1.2124,-1.755859,-1.972482,1.887713,-1.508174,-1.584082,2.870577,0.000951,-0.045919,0.261686,-0.118047,-0.024273,0.000736,0.1120,-1.1772,-0.9830,-0.5653,-0.1870,0.0427
1.2225,-1.755874,-1.972882,1.890279,-1.509276,-1.584322,2.870538,0.000609,-0.042121,0.255847,-0.110449,-0.023638,0.000357,0.1227,-1.3257,-1.0926,-0.5593,-0.1755,0.0302
1.2322,-1.755863,-1.973296,1.892845,-1.510325,-1.584531,2.870533,0.000418,-0.043364,0.246822,-0.099468,-0.023374,0.000256,0.0577,-1.4249,-1.1374,-0.5578,-0.1725,0.0156
1.2423,-1.755887,-1.973720,1.895272,-1.511264,-1.584802,2.870565,0.000108,-0.043856,0.239823,-0.089050,-0.024184,0.000199,0.0190,-1.4070,-1.1564,-0.5521,-0.1737,0.0094
1.2525,-1.755871,-1.974173,1.897619,-1.512069,-1.585065,2.870541,0.000043,-0.045742,0.231801,-0.080324,-0.021896,0.000132,-0.0150,-1.4761,-1.2998,-0.5259,-0.1819,-0.0326
1.2623,-1.755875,-1.974663,1.899859,-1.512829,-1.585251,2.870557,0.000000,-0.049520,0.219624,-0.068659,-0.023235,-0.000035,-0.1642,-1.5278,-1.0540,-0.5385,-0.1899,-0.0790
1.2724,-1.755891,-1.975169,1.902081,-1.513434,-1.585498,2.870526,-0.000777,-0.053858,0.216878,-0.057963,-0.024726,-0.001004,-0.1875,-1.6262,-1.1408,-0.5385,-0.1859,-0.0909
1.2823,-1.755880,-1.975759,1.904176,-1.513970,-1.585773,2.870517,-0.000779,-0.059821,0.208580,-0.048268,-0.025149,-0.001809,-0.3020,-1.5394,-1.2855,-0.5730,-0.2234,-0.1245
1.2924,-1.755895,-1.976389,1.906196,-1.514386,-1.585999,2.870528,-0.001317,-0.068754,0.192607,-0.041196,-0.027200,-0.003800,-0.3114,-1.7440,-1.4102,-0.5738,-0.2142,-0.1342
1.3024,-1.755907,-1.977067,1.908059,-1.514739,-1.586305,2.870457,-0.002101,-0.071629,0.181557,-0.036799,-0.029432,-0.004688,-0.3936,-1.8719,-1.3698,-0.5571,-0.2110,-0.1617
1.3124,-1.755950,-1.977823,1.909845,-1.515071,-1.586621,2.870429,-0.002077,-0.080465,0.167720,-0.029515,-0.031284,-0.004761,-0.5927,-1.6951,-1.5030,-0.5646,-0.2354,-0.1733
1.3226,-1.755959,-1.978665,1.911413,-1.515293,-1.586901,2.870401,-0.003068,-0.087721,0.152088,-0.020851,-0.032685,-0.005114,-0.5669,-1.5726,-1.5665,-0.6045,-0.2048,-0.1425
1.3323,-1.756010,-1.979537,1.912850,-1.515466,-1.587246,2.870298,-0.004041,-0.089204,0.135365,-0.016708,-0.033950,-0.005556,-0.6429,-1.6384,-1.7118,-0.5880,-0.1956,-0.1607
1.3422,-1.756051,-1.980449,1.914058,-1.515634,-1.587616,2.870284,-0.005861,-0.091890,0.114747,-0.012275,-0.035618,-0.005659,-0.6981,-1.6560,-1.5487,-0.5619,-0.1936,-0.1581
1.3522,-1.756115,-1.981382,1.915098,-1.515710,-1.587951,2.870218,-0.007839,-0.093798,0.098292,-0.004880,-0.034248,-0.005513,-0.7241,-1.5906,-1.5872,-0.5558,-0.1651,-0.1555
1.3623,-1.756214,-1.982355,1.915969,-1.515694,-1.588306,2.870181,-0.009174,-0.093776,0.079920,-0.001122,-0.032786,-0.005076,-0.7804,-1.4155,-1.7210,-0.5636,-0.1808,-0.1622
1.3723,-1.756306,-1.983287,1.916683,-1.515687,-1.588590,2.870129,-0.012064,-0.094482,0.060121,-0.000593,-0.031154,-0.003926,-0.8281,-1.3559,-1.6424,-0.5284,-0.1994,-0.1602
1.3824,-1.756441,-1.984189,1.917136,-1.515706,-1.588890,2.870085,-0.014938,-0.089150,0.043944,-0.000403,-0.030196,-0.004086,-0.7122,-1.2464,-1.7009,-0.4726,-0.1913,-0.1469
1.3923,-1.756585,-1.985089,1.917492,-1.515691,-1.589240,2.870053,-0.016489,-0.084196,0.026041,-0.000092,-0.029046,-0.003858,-0.9130,-1.3755,-1.8502,-0.4287,-0.1920,-0.1776
1.4022,-1.756753,-1.985930,1.917630,-1.515691,-1.589484,2.870005,-0.019212,-0.080228,0.011633,-0.000000,-0.027187,-0.003521,-0.8961,-1.2197,-1.9313,-0.3774,-0.2220,-0.1504
1.4124,-1.756956,-1.986704,1.917630,-1.515685,-1.589716,2.869984,-0.022000,-0.075346,-0.011008,0.002409,-0.025946,-0.003536,-0.9021,-1.1734,-2.6101,-0.3427,-0.2094,-0.1424
1.4224,-1.757201,-1.987383,1.917447,-1.515689,-1.590002,2.869961,-0.026958,-0.069212,-0.024201,0.001619,-0.024321,-0.002995,-1.0423,-1.2613,-2.8507,-0.2963,-0.2159,-0.1578
1.4323,-1.757524,-1.988092,1.917151,-1.515682,-1.590273,2.869933,-0.033535,-0.064667,-0.033902,0.003098,-0.023372,-0.002462,-1.1302,-1.1452,-2.8565,-0.2151,-0.2052,-0.1583
1.4424,-1.757910,-1.988729,1.916784,-1.515626,-1.590450,2.869893,-0.039318,-0.059175,-0.041249,0.006674,-0.022208,-0.002935,-1.2408,-1.0581,-2.9484,-0.1717,-0.1883,-0.1539
1.4525,-1.758373,-1.989288,1.916356,-1.515542,-1.590680,2.869862,-0.048181,-0.056156,-0.047242,0.009419,-0.018838,-0.002472,-1.2428,-0.9045,-3.0113,-0.1882,-0.1785,-0.1648
1.4623,-1.758892,-1.989810,1.915830,-1.515466,-1.590864,2.869861,-0.057703,-0.048546,-0.053019,0.009231,-0.017344,-0.002030,-1.2628,-1.0287,-3.0386,-0.1486,-0.1892,-0.1431
1.4724,-1.759554,-1.990261,1.915267,-1.515367,-1.591035,2.869840,-0.067465,-0.043197,-0.059491,0.010606,-0.015084,-0.002029,-1.2681,-1.1065,-3.0061,-0.1320,-0.1838,-0.1525
1.4827,-1.760257,-1.990664,1.914647,-1.515244,-1.591190,2.869825,-0.075919,-0.038910,-0.067773,0.011460,-0.013856,-0.001579,-1.2447,-1.0348,-2.8688,-0.1326,-0.1808,-0.1549
1.4923,-1.761068,-1.991066,1.913956,-1.515132,-1.591279,2.869816,-0.090470,-0.035863,-0.073190,0.010113,-0.011659,-0.001754,-1.1082,-1.0766,-3.1931,-0.1328,-0.1675,-0.1601
1.5023,-1.761983,-1.991381,1.913197,-1.515055,-1.591379,2.869801,-0.094415,-0.030880,-0.079634,0.010240,-0.009628,-0.001268,-1.2943,-1.2172,-3.2469,-0.1549,-0.1616,-0.1549
1.5124,-1.763024,-1.991704,1.912327,-1.514975,-1.591467,2.869777,-0.104536,-0.030064,-0.087605,0.010693,-0.006826,-0.001328,-1.0948,-1.0345,-3.2364,-0.1301,-0.1643,-0.1580
1.5224,-1.764057,-1.991983,1.911401,-1.514884,-1.591557,2.869780,-0.109479,-0.027549,-0.096153,0.010141,-0.006551,-0.001391,-1.2579,-1.0904,-3.2330,-0.1301,-0.1363,-0.1515
1.5323,-1.765156,-1.992258,1.910363,-1.514783,-1.591567,2.869749,-0.116241,-0.024829,-0.106979,0.010670,-0.004938,-0.001145,-1.0365,-1.1455,-3.1411,-0.1409,-0.1379,-0.1518
1.5424,-1.766331,-1.992435,1.909253,-1.514692,-1.591648,2.869757,-0.117552,-0.022033,-0.114021,0.009493,-0.004165,-0.001129,-1.1286,-1.1163,-3.2883,-0.1348,-0.1518,-0.1368
1.5525,-1.767499,-1.992689,1.908092,-1.514609,-1.591650,2.869733,-0.119275,-0.019970,-0.125122,0.008857,-0.003201,-0.000816,-0.9634,-1.1192,-3.2713,-0.1053,-0.1338,-0.1411
1.5623,-1.768706,-1.992892,1.906817,-1.514547,-1.591686,2.869729,-0.118892,-0.017993,-0.129527,0.009494,-0.002760,-0.000662,-1.0269,-1.1301,-3.3188,-0.1206,-0.1542,-0.1507
1.5723,-1.769901,-1.993063,1.905427,-1.514444,-1.591668,2.869725,-0.117339,-0.016226,-0.139183,0.007223,-0.002431,-0.001340,-0.9198,-1.1156,-3.1420,-0.1197,-0.1585,-0.1503
1.5823,-1.771080,-1.993192,1.903988,-1.514412,-1.591727,2.869708,-0.115001,-0.014564,-0.146423,0.006401,-0.002011,-0.002725,-0.9097,-1.0837,-3.0933,-0.1053,-0.1460,-0.1575
1.5923,-1.772196,-1.993362,1.902478,-1.514333,-1.591770,2.869712,-0.114721,-0.013316,-0.148987,0.007201,-0.002244,-0.002667,-0.8682,-1.0931,-3.2536,-0.1283,-0.1371,-0.1823
1.6023,-1.773351,-1.993474,1.900990,-1.514295,-1.591773,2.869688,-0.114283,-0.011616,-0.153691,0.007730,-0.001586,-0.002349,-0.7895,-1.1350,-3.1818,-0.0982,-0.1465,-0.1659
1.6122,-1.774483,-1.993585,1.899422,-1.514161,-1.591790,2.869610,-0.109911,-0.011082,-0.156654,0.008570,-0.001618,-0.002581,-0.6885,-1.0620,-2.9707,-0.1175,-0.1434,-0.1668
1.6224,-1.775515,-1.993685,1.897832,-1.514108,-1.591781,2.869609,-0.103699,-0.008832,-0.155880,0.007343,-0.000708,-0.002506,-0.9182,-1.0654,-3.1444,-0.1047,-0.1562,-0.1518
1.6323,-1.776558,-1.993750,1.896285,-1.514057,-1.591802,2.869565,-0.100726,-0.007008,-0.152061,0.008067,-0.001260,-0.003069,-0.9515,-0.9306,-3.0916,-0.0926,-0.1302,-0.1568
1.6425,-1.777573,-1.993798,1.894790,-1.514004,-1.591830,2.869545,-0.097864,-0.003965,-0.149473,0.007122,-0.000830,-0.003043,-0.8541,-0.7827,-3.0065,-0.0998,-0.1357,-0.1684
1.6524,-1.778519,-1.993822,1.893318,-1.513932,-1.591814,2.869544,-0.093634,-0.002055,-0.144997,0.006448,-0.000684,-0.003789,-0.9846,-0.7441,-2.9144,-0.0955,-0.1351,-0.1789
1.6627,-1.779485,-1.993857,1.891887,-1.513872,-1.591826,2.869473,-0.090696,-0.000756,-0.137315,0.004648,-0.000511,-0.004139,-0.9296,-0.6902,-2.9731,-0.1052,-0.1268,-0.1833
1.6723,-1.780356,-1.993841,1.890580,-1.513848,-1.591842,2.869472,-0.086321,-0.000000,-0.132511,0.004295,-0.000521,-0.004853,-0.9124,-0.5614,-2.8866,-0.1029,-0.1270,-0.1687
1.6823,-1.781220,-1.993805,1.889308,-1.513809,-1.591822,2.869420,-0.083131,0.001396,-0.124207,0.004092,-0.000674,-0.005236,-0.7453,-0.4773,-2.8980,-0.0892,-0.1230,-0.1877
1.6922,-1.782039,-1.993763,1.888093,-1.513771,-1.591834,2.869353,-0.077393,0.003889,-0.118256,0.002693,-0.000474,-0.004528,-0.8647,-0.5044,-2.7731,-0.0929,-0.1129,-0.1853
1.7022,-1.782752,-1.993742,1.886942,-1.513737,-1.591822,2.869303,-0.072329,0.003549,-0.108866,0.001736,-0.000384,-0.005295,-0.9298,-0.3743,-2.8001,-0.0869,-0.1077,-0.1858
1.7123,-1.783452,-1.993721,1.885934,-1.513732,-1.591834,2.869221,-0.068055,0.004286,-0.100341,0.002606,-0.000294,-0.005719,-0.8310,-0.2935,-2.5916,-0.0906,-0.1121,-0.1794
1.7223,-1.784170,-1.993682,1.884990,-1.513720,-1.591845,2.869188,-0.064722,0.003877,-0.089942,0.002036,-0.000272,-0.005654,-0.8189,-0.1798,-2.7902,-0.0755,-0.1063,-0.1940
1.7322,-1.784779,-1.993627,1.884170,-1.513692,-1.591838,2.869160,-0.059284,0.004558,-0.081422,0.001911,-0.000208,-0.005511,-0.8348,-0.1818,-2.7386,-0.0801,-0.0875,-0.1987
1.7423,-1.785334,-1.993579,1.883359,-1.513680,-1.591838,2.869096,-0.054547,0.004682,-0.073569,0.001613,-0.000173,-0.006278,-0.7361,-0.1803,-2.6183,-0.0902,-0.0640,-0.2084
1.7524,-1.785862,-1.993535,1.882703,-1.513660,-1.591884,2.869001,-0.048770,0.004687,-0.063602,0.001607,-0.000032,-0.006316,-0.9118,-0.1859,-2.7351,-0.0908,-0.0390,-0.1806
1.7624,-1.786323,-1.993491,1.882146,-1.513648,-1.591838,2.868957,-0.046893,0.005169,-0.054265,0.001070,-0.000000,-0.006402,-0.8287,-0.1127,-2.6777,-0.0984,0.0068,-0.1862
1.7722,-1.786767,-1.993431,1.881671,-1.513632,-1.591814,2.868928,-0.043559,0.005326,-0.046197,0.000665,0.001947,-0.006719,-0.8619,-0.0841,-2.7365,-0.1206,0.0254,-0.1819
1.7824,-1.787190,-1.993379,1.881227,-1.513666,-1.591759,2.868857,-0.039556,0.005573,-0.039765,0.000455,0.002840,-0.005565,-0.8139,-0.0949,-2.7021,-0.1436,0.0533,-0.1830
1.7924,-1.787570,-1.993332,1.880851,-1.513655,-1.591758,2.868800,-0.037172,0.006461,-0.033416,0.000346,0.003618,-0.004685,-0.7823,-0.0662,-2.6408,-0.1868,0.0738,-0.2021
1.8025,-1.787953,-1.993260,1.880598,-1.513632,-1.591730,2.868740,-0.034468,0.006305,-0.027361,0.000244,0.004989,-0.004481,-0.7755,0.0259,-2.6693,-0.2481,0.0649,-0.2060
1.8123,-1.788242,-1.993247,1.880343,-1.513648,-1.591658,2.868739,-0.031265,0.007228,-0.021502,0.000002,0.005672,-0.004750,-0.7980,0.0168,-2.6739,-0.3147,0.0777,-0.1948
1.8226,-1.788554,-1.993125,1.880151,-1.513648,-1.591607,2.868660,-0.029206,0.007290,-0.016847,-0.002469,0.006486,-0.005419,-0.7986,0.0573,-2.7036,-0.3515,0.0760,-0.1715
1.8323,-1.788833,-1.993045,1.880023,-1.513668,-1.591585,2.868628,-0.026651,0.008233,-0.013209,-0.003517,0.006567,-0.004324,-0.8357,-0.0901,-2.7772,-0.4078,0.0896,-0.1778
1.8423,-1.789079,-1.992970,1.879911,-1.513720,-1.591506,2.868572,-0.025942,0.007716,-0.008110,-0.005005,0.007460,-0.003352,-0.7979,0.0212,-2.6470,-0.4330,0.1116,-0.1762
1.8523,-1.789349,-1.992893,1.879863,-1.513783,-1.591459,2.868533,-0.023967,0.008359,-0.002532,-0.006944,0.007879,-0.003685,-0.8645,-0.0375,-2.6588,-0.4609,0.0940,-0.1771
1.8623,-1.789577,-1.992821,1.879864,-1.513839,-1.591414,2.868500,-0.022529,0.009407,-0.000879,-0.006174,0.006753,-0.002862,-0.8509,0.0031,-2.6695,-0.4755,0.0975,-0.1788
1.8723,-1.789786,-1.992741,1.879894,-1.513880,-1.591323,2.868496,-0.021524,0.008938,-0.000484,-0.007074,0.006075,-0.003622,-0.7726,0.0845,-2.6871,-0.5019,0.0958,-0.1701
1.8824,-1.789986,-1.992626,1.879879,-1.514002,-1.591296,2.868452,-0.021333,0.008849,-0.000447,-0.007456,0.004934,-0.002830,-0.7457,0.0119,-2.8106,-0.5001,0.0945,-0.1901
1.8922,-1.790205,-1.992515,1.879850,-1.514012,-1.591247,2.868444,-0.021068,0.009269,-0.007634,-0.009244,0.002746,-0.003886,-0.7799,-0.0387,-3.1346,-0.5436,0.1136,-0.1737
1.9023,-1.790429,-1.992450,1.879720,-1.514118,-1.591251,2.868373,-0.021005,0.009519,-0.016085,-0.009606,0.003140,-0.004034,-0.8173,-0.0247,-3.1529,-0.5644,0.0925,-0.1898
1.9122,-1.790625,-1.992351,1.879479,-1.514223,-1.591215,2.868309,-0.022076,0.010278,-0.023817,-0.011251,0.002047,-0.004321,-0.8344,-0.0379,-3.0988,-0.5363,0.0964,-0.1920
1.9224,-1.790857,-1.992275,1.879204,-1.514362,-1.591219,2.868280,-0.023578,0.010951,-0.030440,-0.011431,0.001223,-0.005589,-0.7837,-0.0307,-3.1074,-0.5422,0.0966,-0.1788
1.9322,-1.791085,-1.992148,1.878846,-1.514427,-1.591204,2.868205,-0.023648,0.011201,-0.038232,-0.010458,0.000910,-0.005692,-0.8867,-0.0303,-3.0489,-0.5711,0.0892,-0.1792
1.9423,-1.791344,-1.992018,1.878449,-1.514523,-1.591226,2.868192,-0.023949,0.010698,-0.043321,-0.011018,0.000659,-0.005332,-0.9065,0.0160,-3.0707,-0.5709,0.0816,-0.1865
1.9524,-1.791577,-1.991921,1.877955,-1.514655,-1.591172,2.868119,-0.026189,0.010884,-0.048229,-0.012038,0.000473,-0.005770,-0.8861,0.1021,-3.1391,-0.5511,0.0852,-0.1848
1.9623,-1.791856,-1.991813,1.877525,-1.514758,-1.591207,2.868075,-0.026973,0.011815,-0.055233,-0.010347,0.000185,-0.006597,-0.8450,-0.0053,-3.0791,-0.5479,0.0511,-0.1823
1.9724,-1.792085,-1.991728,1.876926,-1.514853,-1.591211,2.867972,-0.027766,0.011105,-0.060450,-0.009703,0.000094,-0.008499,-0.8106,0.0914,-3.2035,-0.5543,0.0203,-0.1809
1.9824,-1.792412,-1.991574,1.876225,-1.514915,-1.591192,2.867904,-0.027816,0.012239,-0.066608,-0.008480,0.000010,-0.009755,-0.8311,-0.0172,-3.0951,-0.5690,-0.0014,-0.1872
1.9926,-1.792683,-1.991458,1.875521,-1.515014,-1.591211,2.867733,-0.030384,0.011105,-0.074750,-0.008907,-0.001385,-0.013623,-0.8928,0.0349,-3.1950,-0.5670,-0.0361,-0.1860
2.0023,-1.792964,-1.991335,1.874758,-1.515071,-1.591231,2.867620,-0.032721,0.011064,-0.079989,-0.006317,-0.001150,-0.014471,-0.8798,-0.0771,-3.3283,-0.5759,-0.0592,-0.2057
2.0125,-1.793296,-1.991219,1.873890,-1.515165,-1.591235,2.867440,-0.035899,0.010566,-0.085877,-0.004633,-0.002197,-0.019235,-0.7992,-0.0226,-3.0866,-0.5742,-0.0846,-0.1993
2.0225,-1.793698,-1.991139,1.872977,-1.515190,-1.591270,2.867221,-0.038516,0.009942,-0.091218,-0.005460,-0.003257,-0.024930,-0.9157,0.1129,-3.0930,-0.5621,-0.0971,-0.2061
2.0324,-1.794087,-1.991024,1.872090,-1.515230,-1.591280,2.866939,-0.041711,0.009975,-0.094906,-0.003622,-0.004199,-0.033606,-0.8444,0.0396,-3.1574,-0.5702,-0.0985,-0.2007
2.0431,-1.794494,-1.990924,1.871100,-1.515266,-1.591312,2.866556,-0.043967,0.009681,-0.097469,-0.003312,-0.004790,-0.040381,-0.8926,-0.0260,-3.0957,-0.5691,-0.0829,-0.2132
2.0523,-1.794950,-1.990855,1.870070,-1.515298,-1.591328,2.866076,-0.046777,0.008916,-0.099273,-0.002901,-0.003839,-0.049963,-1.0097,-0.0177,-3.0896,-0.5699,-0.0951,-0.1948
2.0625,-1.795449,-1.990718,1.869093,-1.515310,-1.591410,2.865520,-0.051205,0.008518,-0.100075,-0.002709,-0.003419,-0.055050,-1.0332,-0.0285,-2.9481,-0.5670,-0.1029,-0.2555
2.0724,-1.796001,-1.990653,1.868086,-1.515338,-1.591427,2.864895,-0.056809,0.008084,-0.099831,-0.002365,-0.003908,-0.068771,-0.9564,-0.0183,-2.9481,-0.5464,-0.1247,-0.2498
2.0824,-1.796573,-1.990562,1.867106,-1.515339,-1.591436,2.864089,-0.061267,0.006277,-0.096766,-0.001168,-0.002967,-0.079139,-0.9836,0.0474,-2.8552,-0.5351,-0.1349,-0.2368
2.0926,-1.797224,-1.990533,1.866167,-1.515370,-1.591502,2.863235,-0.069721,0.005913,-0.092111,-0.001031,-0.003989,-0.092896,-0.9956,0.0997,-2.9189,-0.5571,-0.1212,-0.2511
2.1025,-1.797963,-1.990486,1.865259,-1.515370,-1.591514,2.862208,-0.078950,0.004427,-0.087636,-0.000681,-0.003282,-0.104331,-0.9036,0.1256,-2.9303,-0.5592,-0.1132,-0.2660
2.1124,-1.798766,-1.990441,1.864392,-1.515398,-1.591563,2.861087,-0.083038,0.004231,-0.084486,-0.000556,-0.003387,-0.119127,-1.0210,0.0668,-2.8883,-0.5269,-0.1167,-0.2773
2.1228,-1.799642,-1.990414,1.863581,-1.515363,-1.591570,2.859802,-0.088985,0.003969,-0.079077,-0.000310,-0.003453,-0.131535,-1.2706,0.1636,-2.8416,-0.5260,-0.1073,-0.2559
2.1323,-1.800605,-1.990354,1.862852,-1.515386,-1.591598,2.858407,-0.099066,0.003698,-0.071537,-0.000276,-0.002719,-0.141001,-1.1629,0.0846,-2.7900,-0.5259,-0.1225,-0.2486
2.1423,-1.801633,-1.990311,1.862191,-1.515382,-1.591622,2.856945,-0.105761,0.002969,-0.067081,-0.000220,-0.003180,-0.149722,-1.2831,0.0474,-2.6441,-0.5202,-0.1251,-0.2500
2.1525,-1.802775,-1.990322,1.861544,-1.515367,-1.591634,2.855325,-0.113284,0.002475,-0.059551,-0.000183,-0.002248,-0.156220,-1.1556,0.0516,-2.7878,-0.5265,-0.1314,-0.2674
2.1624,-1.803974,-1.990286,1.860985,-1.515379,-1.591674,2.853766,-0.123831,0.002686,-0.051412,-0.000156,-0.002171,-0.162007,-1.1995,0.0935,-2.7737,-0.4858,-0.1523,-0.2658
2.1724,-1.805262,-1.990278,1.860513,-1.515379,-1.591694,2.852087,-0.131316,0.002199,-0.046068,-0.000137,-0.003713,-0.170347,-1.1901,0.0714,-2.6747,-0.4436,-0.1555,-0.2251
2.1822,-1.806633,-1.990258,1.860104,-1.515393,-1.591723,2.850369,-0.136906,0.001313,-0.039718,-0.000101,-0.003305,-0.172544,-1.1716,0.0927,-2.7709,-0.4268,-0.1454,-0.2590
2.1924,-1.808127,-1.990207,1.859764,-1.515386,-1.591797,2.848573,-0.157227,0.003514,-0.033560,-0.000077,-0.006309,-0.180257,-1.5748,0.1385,-2.7314,-0.4296,-0.1678,-0.2490
2.2024,-1.809775,-1.990203,1.859433,-1.515374,-1.591818,2.846823,-0.168275,0.001530,-0.028266,-0.000054,-0.006786,-0.186536,-1.5504,0.1865,-2.6811,-0.4071,-0.2091,-0.2342
2.2125,-1.811569,-1.990191,1.859200,-1.515374,-1.591917,2.844935,-0.182908,0.002141,-0.023516,0.000045,-0.011518,-0.189859,-1.5856,0.0655,-2.7595,-0.3794,-0.1983,-0.2265
2.2225,-1.813523,-1.990191,1.858953,-1.515355,-1.592029,2.843061,-0.198201,0.001171,-0.019635,0.000078,-0.014046,-0.195077,-1.8400,0.1868,-2.8013,-0.3602,-0.1996,-0.2294
2.2323,-1.815605,-1.990151,1.858817,-1.515355,-1.592165,2.841128,-0.216961,0.001694,-0.016282,0.000452,-0.014896,-0.195476,-1.7562,-0.0176,-2.7712,-0.3298,-0.2048,-0.2772
2.2423,-1.817868,-1.990166,1.858661,-1.515374,-1.592383,2.839107,-0.230910,0.000681,-0.013529,0.000641,-0.019296,-0.199981,-1.8768,-0.0584,-2.8392,-0.3244,-0.2126,-0.2387
2.2523,-1.820273,-1.990147,1.858530,-1.515315,-1.592591,2.837140,-0.245732,0.000245,-0.011657,0.000569,-0.022998,-0.195199,-1.7395,-0.0967,-2.7998,-0.3136,-0.2477,-0.2505
2.2623,-1.822807,-1.990154,1.858430,-1.515315,-1.592890,2.835111,-0.263552,-0.000172,-0.011012,0.000511,-0.030425,-0.196158,-1.8191,-0.1438,-2.8991,-0.3122,-0.2533,-0.2211
2.2724,-1.825508,-1.990154,1.858321,-1.515307,-1.593247,2.833152,-0.280712,-0.000235,-0.011181,0.000809,-0.037411,-0.195784,-1.5706,-0.2081,-2.8375,-0.2822,-0.2793,-0.2651
