t_rel_s,gello_grip,grip_cmd,grip_pos
0.0314,0.0000,,
0.0645,0.0000,,
0.0986,0.0000,,
0.1311,0.0000,,
0.1645,0.0000,,
0.1955,0.0000,,0.0196
0.1981,0.0000,,0.0196
0.2313,0.0000,,0.0196
0.2647,0.0000,,0.0196
0.2979,0.0000,,0.0196
0.3313,0.0000,,0.0196
0.3647,0.0000,,0.0196
0.3954,0.0000,,0.0196
0.3991,0.0000,,0.0196
0.4312,0.0000,,0.0196
0.4648,0.0000,,0.0196
0.4980,0.0000,,0.0196
0.5313,0.0000,,0.0196
0.5678,0.0000,,0.0196
0.5955,0.0000,,0.0196
0.5978,0.0000,,0.0196
0.6311,0.0000,,0.0196
0.9961,0.0000,,0.0196
0.9967,0.0000,,0.0196
0.9969,0.0000,,0.0196
0.9973,0.0000,,0.0196
0.9975,0.0000,,0.0196
0.9979,0.0000,,0.0196
0.9984,0.0000,,0.0196
0.9987,0.0000,,0.0196
0.9990,0.0000,,0.0196
0.9992,0.0000,,0.0196
0.9995,0.0000,,0.0196
0.9998,0.0000,,0.0196
1.0000,0.0000,,0.0196
1.0312,0.0000,,0.0196
1.0647,0.0000,,0.0196
1.0979,0.0000,,0.0196
1.1312,0.0000,,0.0196
1.1646,0.0000,,0.0196
1.1955,0.0000,,0.0196
1.1979,0.0000,,0.0196
1.2312,0.0000,,0.0196
1.2646,0.0000,,0.0196
1.2978,0.0000,,0.0196
1.3311,0.0000,,0.0196
1.3645,0.0000,,0.0196
1.3957,0.0000,,0.0196
1.3979,0.0000,,0.0196
1.4311,0.0000,,0.0196
1.4645,0.0000,,0.0196
1.4980,0.0000,,0.0196
1.5319,0.0000,,0.0196
1.5648,0.0000,,0.0196
1.5957,0.0000,,0.0196
1.5985,0.0000,,0.0196
1.6314,0.0000,,0.0196
1.6644,0.0000,,0.0196
1.6990,0.0000,,0.0196
1.7311,0.0000,,0.0196
1.7652,0.0000,,0.0196
1.7954,0.0000,,0.0196
1.7978,0.0000,,0.0196
1.8311,0.0000,,0.0196
1.8646,0.0000,,0.0196
1.8981,0.0000,,0.0196
1.9313,0.0000,,0.0196
1.9645,0.0000,,0.0196
1.9956,0.0000,,0.0196
1.9980,0.0000,,0.0196
2.0312,0.0000,,0.0196
2.0648,0.0000,,0.0196
2.0979,0.0000,,0.0196
2.1311,0.0000,,0.0196
2.1653,0.0000,,0.0196
2.1953,0.0000,,0.0196
2.1978,0.0000,,0.0196
2.2311,0.0000,,0.0196
2.2644,0.0000,,0.0196
2.2979,0.0000,,0.0196
2.3313,0.0000,,0.0196
2.3645,0.0000,,0.0196
2.3956,0.0000,,0.0196
2.3977,0.0000,,0.0196
2.4312,0.0000,,0.0196
2.4648,0.0000,,0.0196
2.4980,0.0000,,0.0196
2.5313,0.0000,,0.0196
2.5645,0.0000,,0.0196
2.5954,0.0000,,0.0196
2.5979,0.0000,,0.0196
2.6312,0.0000,,0.0196
2.6647,0.0000,,0.0196
2.6980,0.0000,,0.0196
2.7312,0.0000,,0.0196
2.7645,0.0000,,0.0196
2.7957,0.0000,,0.0196
2.7977,0.0000,,0.0196
2.8317,0.0000,,0.0196
2.8645,0.0000,,0.0196
2.8979,0.0000,,0.0196
2.9317,0.0000,,0.0196
2.9645,0.0000,,0.0196
2.9954,0.0000,,0.0196
2.9980,0.0000,,0.0196
3.0313,0.0000,,0.0196
3.0646,0.0000,,0.0196
3.0979,0.0000,,0.0196
