t_rel_s,fx,fy,fz,tx,ty,tz
0.6791,-0.88625,-1.99265,2.64613,-0.33230,-0.09043,0.03292
0.6889,-0.00570,-2.34978,2.77694,-0.31858,-0.07220,0.03273
0.6989,-0.27424,-1.83593,2.65647,-0.33002,-0.09328,0.03631
0.7090,-0.03324,-3.23702,3.46460,-0.30112,-0.07277,0.03136
0.7190,-0.87855,-1.62431,2.73534,-0.34493,-0.09435,0.03095
0.7290,-0.35089,-3.33253,4.16634,-0.29813,-0.07765,0.03204
0.7394,-0.48402,-1.67582,3.01681,-0.33434,-0.08649,0.03782
0.7491,-0.16508,-2.41345,3.21791,-0.32764,-0.09316,0.03493
0.7592,-0.65236,-2.26258,3.38437,-0.33761,-0.07574,0.02752
0.7693,-0.07964,-2.31963,3.68692,-0.32411,-0.05573,0.03241
0.7793,-0.47877,-2.16820,3.28038,-0.33123,-0.07836,0.03475
0.7890,-0.20107,-1.55916,1.76010,-0.35417,-0.08422,0.02942
0.7991,-0.13088,-2.74738,2.11539,-0.33442,-0.07397,0.02912
0.8092,0.30909,-3.08336,2.14286,-0.30295,-0.06552,0.03464
0.8192,-0.27463,-1.39431,0.63091,-0.36790,-0.06441,0.03092
0.8294,-0.37026,-3.66861,1.67579,-0.31084,-0.07930,0.03194
0.8393,0.14211,-2.93878,1.32695,-0.32662,-0.07368,0.03209
0.8491,0.11377,-2.91066,1.33134,-0.31880,-0.08685,0.03128
0.8592,-0.15127,-2.51627,1.08647,-0.33238,-0.08998,0.03055
0.8694,0.31074,-3.83512,2.52272,-0.30193,-0.07369,0.03301
0.8793,-0.24366,-2.52746,1.68383,-0.32991,-0.08307,0.02782
0.8891,-0.04658,-2.87772,1.86731,-0.33176,-0.08276,0.03161
0.8992,-0.29769,-2.74127,1.52524,-0.33379,-0.09138,0.02924
0.9091,0.34940,-3.76195,2.35069,-0.30525,-0.06408,0.03331
0.9192,-0.41046,-1.55081,1.05587,-0.36713,-0.08804,0.02933
0.9292,-0.14983,-3.73152,2.81944,-0.30377,-0.07640,0.02456
0.9392,-0.17475,-1.55448,1.87638,-0.36980,-0.08280,0.02735
0.9493,-0.35749,-2.28311,2.00580,-0.35667,-0.07436,0.02926
0.9596,-0.76017,-1.41999,1.72406,-0.37728,-0.11070,0.03204
0.9691,0.24159,-3.60856,3.66567,-0.30698,-0.07712,0.03173
0.9790,-0.32795,-2.43966,2.77280,-0.33712,-0.08499,0.02780
0.9892,-0.40511,-1.59982,2.14378,-0.36460,-0.08180,0.02751
