t_rel_s,fx,fy,fz,tx,ty,tz
0.9991,-0.75237,-2.61806,2.50291,-0.34781,-0.09639,0.03099
1.0092,-0.06542,-3.21121,2.96830,-0.32758,-0.07503,0.03689
1.0193,-0.68816,0.46605,-0.09228,-0.44072,-0.11435,0.03522
1.0293,-0.66282,-2.42460,0.53912,-0.36998,-0.09280,0.02950
1.0391,0.03101,-1.72394,-0.27336,-0.40735,-0.07746,0.03214
1.0492,0.12464,-4.27016,1.30780,-0.31423,-0.07794,0.02721
1.0592,-0.49752,-1.20022,0.31448,-0.40357,-0.09256,0.03588
1.0692,-0.17960,-4.61016,4.18321,-0.30930,-0.07582,0.02700
1.0791,-0.43216,-1.83280,3.08862,-0.38717,-0.09587,0.02880
1.0893,-0.23875,-1.99733,3.10526,-0.36770,-0.09217,0.03133
1.0991,-0.81570,-3.29115,3.56249,-0.33859,-0.11066,0.02821
1.1093,0.93603,-3.46747,3.74352,-0.31146,-0.06956,0.02867
1.1193,-0.36791,-1.83041,2.32561,-0.39100,-0.11824,0.01473
1.1290,-0.15946,-3.82213,3.95277,-0.32179,-0.09380,0.00761
1.1391,0.23631,-1.63715,2.92393,-0.37441,-0.07263,-0.00055
1.1489,-0.27866,-2.68765,3.54522,-0.34836,-0.08424,-0.01587
1.1591,-0.77507,-1.92858,3.19497,-0.37603,-0.10594,-0.04670
1.1693,0.37472,-3.38121,4.27702,-0.33311,-0.08916,-0.05274
1.1791,-0.36149,-2.41961,3.45983,-0.36274,-0.09455,-0.06771
1.1892,-0.34724,-1.68823,2.13299,-0.37553,-0.10304,-0.08041
1.1989,0.03671,-3.18842,2.71367,-0.35370,-0.11448,-0.08961
1.2094,0.15364,-3.05731,2.92957,-0.33240,-0.08447,-0.10224
1.2193,0.09035,-1.31375,0.81336,-0.41939,-0.09387,-0.11345
1.2290,0.11061,-3.59970,2.39880,-0.33360,-0.10222,-0.12280
1.2392,0.29150,-1.56250,1.32055,-0.38917,-0.09565,-0.14381
1.2491,-0.20484,-2.26404,2.12074,-0.36564,-0.09855,-0.16171
1.2591,-0.38879,-1.86160,1.30435,-0.39037,-0.11764,-0.17019
1.2692,0.66652,-3.65745,2.96847,-0.33526,-0.07817,-0.16093
1.2797,-0.22418,-2.50166,2.39830,-0.36979,-0.11680,-0.17747
1.2891,-0.10224,-2.82222,2.62048,-0.36563,-0.09568,-0.17527
1.2991,-0.17760,-2.10660,2.53038,-0.38920,-0.11059,-0.16800
1.3093,0.35203,-3.17023,3.47502,-0.34993,-0.08160,-0.16693
1.3192,-0.13288,-0.55407,1.72674,-0.42858,-0.11755,-0.17305
1.3292,0.22855,-3.63278,3.68650,-0.33914,-0.09332,-0.16661
1.3392,0.01123,-1.33808,2.36049,-0.40306,-0.10168,-0.16668
1.3491,0.08602,-3.09561,3.52851,-0.35598,-0.10012,-0.16658
1.3590,-0.10894,-2.39840,3.50129,-0.37538,-0.12299,-0.16449
1.3693,0.46578,-3.24409,3.98741,-0.36031,-0.08990,-0.16158
1.3793,-0.35938,-3.06491,4.32223,-0.35552,-0.12753,-0.16131
1.3893,0.24977,-1.98054,2.81351,-0.38739,-0.10431,-0.16790
1.3992,-0.21643,-2.43268,2.60327,-0.38854,-0.10917,-0.16200
1.4093,0.44477,-3.27544,2.84106,-0.35089,-0.10635,-0.15936
1.4192,-0.03402,-0.29125,0.19880,-0.44070,-0.10364,-0.16933
1.4291,0.17968,-2.65231,1.10280,-0.37711,-0.11933,-0.15923
1.4393,0.42030,-2.40313,0.71452,-0.40298,-0.10840,-0.16055
1.4493,0.32499,-3.12001,1.44749,-0.36487,-0.10303,-0.16198
1.4591,-0.06495,-1.94788,1.06103,-0.39531,-0.12294,-0.15491
1.4690,0.03402,-3.67544,2.92200,-0.35705,-0.09920,-0.14805
1.4789,-0.27918,-2.30992,2.62503,-0.38238,-0.13225,-0.14612
1.4892,0.33258,-2.05339,2.28022,-0.39247,-0.10816,-0.14814
1.4992,-0.21747,-2.91749,2.83559,-0.37774,-0.12369,-0.13790
1.5091,0.48962,-3.06524,2.75959,-0.37169,-0.08752,-0.12965
1.5190,0.14458,-1.92364,1.61975,-0.41654,-0.10714,-0.12003
1.5292,0.21070,-3.49515,3.03331,-0.35009,-0.10194,-0.10421
1.5394,0.48218,-1.21131,1.95119,-0.42636,-0.09511,-0.09401
1.5490,0.04922,-2.76378,2.61843,-0.39376,-0.09620,-0.08160
1.5589,-0.07515,-1.73311,1.86778,-0.42549,-0.11842,-0.07692
1.5693,0.19276,-3.22381,3.12213,-0.38508,-0.08908,-0.06496
1.5790,-0.19794,-2.81889,2.88354,-0.39245,-0.11949,-0.05195
1.5891,0.31145,-2.89990,2.72645,-0.39116,-0.09172,-0.03802
1.5993,-0.09476,-2.48158,2.60773,-0.41242,-0.11630,-0.02822
1.6091,0.24155,-2.80742,3.02164,-0.40324,-0.10154,-0.01412
1.6192,0.32835,-2.15765,2.23587,-0.41456,-0.10394,-0.00102
1.6294,0.22663,-3.37483,3.05149,-0.38625,-0.07530,0.01454
1.6391,0.58146,-2.37863,2.29756,-0.41335,-0.08593,0.01648
1.6490,0.27324,-2.77387,2.62597,-0.39562,-0.09259,0.03090
1.6591,0.42221,-1.96725,1.80209,-0.42231,-0.08075,0.03577
1.6691,0.38707,-3.05320,2.60453,-0.39308,-0.07064,0.04269
1.6792,0.41430,-2.11071,2.06335,-0.42237,-0.07037,0.04551
1.6893,0.82282,-2.14010,1.71004,-0.43765,-0.06872,0.04610
1.6992,-0.11371,-1.94813,1.33257,-0.42657,-0.09287,0.04102
1.7092,-0.20530,-3.17351,2.58282,-0.39328,-0.09501,0.04847
1.7192,-0.32442,-2.02289,1.80792,-0.42381,-0.09706,0.04342
1.7294,-0.64378,-3.50600,3.02206,-0.38183,-0.12151,0.04029
1.7394,-0.85153,-2.66943,3.24017,-0.39776,-0.10414,0.03442
1.7495,-0.90890,-2.33049,2.60082,-0.41993,-0.11185,0.03849
1.7594,-0.78744,-1.94079,1.97131,-0.43925,-0.12880,0.03615
1.7691,-0.66066,-3.30010,3.10288,-0.39242,-0.10099,0.04021
1.7790,-0.10092,-2.18241,2.14738,-0.42141,-0.08950,0.03951
1.7895,-0.26892,-1.65269,1.55390,-0.45296,-0.07831,0.03728
1.7990,-0.50398,-2.26887,1.48882,-0.43428,-0.10109,0.03068
1.8092,-0.03988,-3.22605,2.33431,-0.41055,-0.07906,0.03953
1.8191,-0.13887,-0.27407,-0.27697,-0.49552,-0.07765,0.03742
1.8293,-1.03080,-3.71903,1.75295,-0.38962,-0.10121,0.03794
1.8390,-0.25859,-2.25758,0.83973,-0.43067,-0.09170,0.03984
1.8492,-0.12087,-3.35934,2.30946,-0.40435,-0.07182,0.03861
1.8590,-1.05127,-3.08241,2.78960,-0.41123,-0.12308,0.03455
1.8693,-0.22286,-3.56400,4.07155,-0.39624,-0.07764,0.03940
1.8790,-0.92240,-2.80539,3.54566,-0.42499,-0.10595,0.04032
1.8891,-0.38128,-2.62526,3.55544,-0.43062,-0.07947,0.04044
1.8989,-0.99640,-3.14024,2.90449,-0.41679,-0.09428,0.03359
1.9090,-0.09035,-3.68197,2.88833,-0.40179,-0.08266,0.03698
1.9192,-0.58751,-1.28151,0.25176,-0.48919,-0.08509,0.03761
1.9295,-0.32270,-3.70674,1.61463,-0.42387,-0.08244,0.03660
1.9390,-0.12846,-1.91756,1.17029,-0.46034,-0.09831,0.04034
1.9491,-0.22095,-2.63010,1.50094,-0.44614,-0.08786,0.03601
1.9592,-1.09849,-1.98690,1.17124,-0.47196,-0.10434,0.03653
1.9692,-0.09468,-3.52124,2.89580,-0.40679,-0.07050,0.03419
1.9791,-0.21440,-2.57026,2.15844,-0.44926,-0.08497,0.03637
1.9892,-0.63069,-3.03725,2.82007,-0.42888,-0.08785,0.03572
1.9993,-0.28788,-2.82651,2.51460,-0.44909,-0.08962,0.03879
2.0089,0.01577,-3.45362,3.57666,-0.41867,-0.06209,0.03424
2.0191,-0.32799,-2.19817,2.48281,-0.45582,-0.08889,0.03614
2.0290,-0.07357,-3.15711,3.36803,-0.42181,-0.07672,0.03359
2.0393,-0.57923,-2.31420,3.19671,-0.45359,-0.08753,0.03880
2.0494,-0.09416,-2.62930,3.30540,-0.45267,-0.07865,0.03183
2.0591,-0.80862,-1.99987,2.60723,-0.46638,-0.10230,0.03003
2.0690,-0.01812,-3.13918,3.27531,-0.43373,-0.08066,0.03300
2.0793,-0.01874,-2.53240,2.54373,-0.45576,-0.10749,0.03584
2.0893,-0.03499,-2.92484,2.18053,-0.44992,-0.07622,0.03144
2.0990,-0.45844,-2.94916,2.23594,-0.44929,-0.09397,0.03277
2.1090,0.14154,-3.39390,2.22945,-0.42609,-0.06513,0.03328
2.1193,-0.63600,-1.86129,0.66676,-0.49913,-0.09511,0.03161
2.1289,-0.39506,-3.48462,1.99612,-0.43271,-0.08144,0.03601
2.1392,-0.27580,-2.59097,1.56629,-0.46479,-0.08507,0.03254
2.1493,-0.16980,-2.54385,1.54897,-0.46513,-0.08311,0.03561
2.1589,-0.94009,-2.58672,1.48753,-0.47129,-0.10088,0.03105
2.1691,0.05454,-3.69758,2.88495,-0.42084,-0.08048,0.03400
2.1792,-0.12631,-2.23577,2.01862,-0.46889,-0.08995,0.03451
2.1890,-1.07135,-3.19857,2.76484,-0.44819,-0.11429,0.03024
2.1991,-0.96241,-3.00448,2.53179,-0.45436,-0.12749,0.02805
2.2092,-0.65071,-3.39121,2.59787,-0.44235,-0.07580,0.03598
2.2189,-3.74644,-3.24150,1.39097,-0.46113,-0.24538,0.01968
2.2289,-1.50664,-4.70552,1.41770,-0.40988,-0.13829,0.02775
2.2391,-3.54220,-3.80559,0.59300,-0.45820,-0.23678,0.02415
2.2490,-1.20021,-5.88812,1.05607,-0.38836,-0.12070,0.03433
2.2588,-4.63637,-3.93282,-0.16036,-0.43648,-0.27226,0.02661
2.2689,1.24594,-6.17524,1.45616,-0.37600,-0.03087,0.03090
2.2791,-2.46744,-2.73258,1.02505,-0.46575,-0.23467,0.03285
2.2895,1.85484,-4.00598,2.57653,-0.43342,-0.01932,0.03171
2.2991,-0.47481,-2.56917,3.02614,-0.47573,-0.11067,0.03162
2.3093,3.38960,-2.52545,4.52558,-0.46700,0.05688,0.04094
2.3191,-0.16400,-0.93287,3.40169,-0.50904,-0.10680,0.02619
2.3289,2.81637,-2.53816,4.20594,-0.46285,0.04224,0.03813
2.3390,1.42017,-1.48643,3.25946,-0.49367,-0.02270,0.04503
2.3491,1.65307,-2.47442,3.80488,-0.47342,-0.01583,0.03740
2.3591,0.53742,-1.39393,3.29061,-0.50610,-0.05629,0.03539
2.3692,2.49307,-1.86281,3.72153,-0.50744,0.01202,0.03883
2.3790,1.39471,-1.45425,3.59858,-0.51092,-0.05121,0.03747
2.3892,0.03622,-0.94311,3.21358,-0.51906,-0.06714,0.03544
2.3990,-0.47399,-1.74540,2.91488,-0.50432,-0.07809,0.03397
2.4092,-0.20157,-2.45997,3.09386,-0.50819,-0.04499,0.04594
2.4192,-1.81486,-2.34409,1.49967,-0.50101,-0.14639,0.04124
2.4292,-1.04970,-3.94284,1.19935,-0.47045,-0.09648,0.04165
2.4390,-1.82598,-4.32635,0.70842,-0.46581,-0.14301,0.03419
2.4493,-0.76431,-5.08289,1.33339,-0.43283,-0.08018,0.03428
2.4592,-2.98655,-3.75827,1.03253,-0.47481,-0.16964,0.03095
2.4690,0.06092,-4.01912,2.55823,-0.44364,-0.05100,0.04623
2.4789,-0.94476,-2.72174,2.76545,-0.48998,-0.13151,0.02905
2.4891,0.38345,-2.82841,3.16470,-0.48506,-0.06218,0.03583
2.4993,-0.99881,-1.77105,3.08483,-0.49394,-0.09732,0.03657
2.5091,1.08571,-3.12301,3.71025,-0.47468,-0.02206,0.04067
2.5193,-0.73506,-1.76374,2.62882,-0.51167,-0.10193,0.02925
2.5292,0.81324,-2.46018,2.75313,-0.49459,-0.03233,0.02907
2.5391,0.46254,-1.87098,2.57221,-0.51018,-0.05271,0.03430
2.5491,0.62558,-3.04152,2.75236,-0.49241,-0.04501,0.03620
2.5593,-0.14882,-1.57052,2.25450,-0.52905,-0.08450,0.02803
2.5695,1.29967,-2.55486,2.55379,-0.50678,-0.03203,0.03476
2.5788,0.79560,-2.18732,2.54579,-0.50694,-0.03277,0.02874
2.5892,0.77301,-2.53827,2.41085,-0.50384,-0.05169,0.03068
2.5991,0.19075,-2.68883,2.07999,-0.50104,-0.06818,0.02934
2.6093,1.25514,-3.82895,2.57185,-0.45529,-0.03785,0.03268
2.6191,-0.61030,-2.91927,0.82530,-0.50083,-0.10599,0.01836
2.6292,-0.23587,-5.66435,1.30525,-0.41938,-0.07665,0.02467
2.6391,-0.79062,-3.85857,0.27924,-0.48888,-0.10529,0.01538
2.6494,-0.50664,-5.48734,1.24461,-0.41788,-0.08065,0.01639
2.6595,-0.94939,-3.91510,0.77759,-0.45755,-0.08683,0.01301
2.6691,-0.17052,-3.23038,2.31866,-0.48012,-0.08088,0.01270
2.6791,-0.87829,-1.99273,3.20933,-0.49382,-0.08394,0.01067
2.6893,-0.52875,-2.87772,3.82886,-0.48385,-0.07293,0.00936
2.6992,-0.67936,-1.81231,3.31591,-0.50626,-0.08273,0.01095
2.7092,0.21807,-3.50199,3.81520,-0.47053,-0.05837,0.01330
2.7192,-1.23910,-2.47205,2.21461,-0.49919,-0.11409,0.00163
2.7294,-0.30403,-3.73465,2.10299,-0.47102,-0.08418,-0.00106
2.7390,-0.67805,-2.54912,1.70435,-0.48592,-0.08311,-0.01590
2.7494,-0.28144,-3.61832,2.16618,-0.45422,-0.08735,-0.03140
2.7592,-0.48210,-2.17636,2.43138,-0.49178,-0.08412,-0.05245
2.7690,0.63814,-1.90985,3.41526,-0.50732,-0.06171,-0.06170
2.7790,0.14483,-1.13755,3.37405,-0.52622,-0.05201,-0.06645
2.7892,0.35344,-1.70611,3.83010,-0.50448,-0.05750,-0.08256
2.7991,0.12469,-1.09531,3.34471,-0.52543,-0.06304,-0.09763
2.8090,0.49595,-2.38500,3.47437,-0.49821,-0.06496,-0.10986
2.8190,0.23781,-1.94214,2.74551,-0.49956,-0.07808,-0.12620
2.8291,0.33635,-2.69707,2.99778,-0.48666,-0.06766,-0.14806
2.8391,0.03626,-1.73046,2.97539,-0.49895,-0.08403,-0.16024
2.8490,0.31900,-2.41345,3.01949,-0.49990,-0.08551,-0.16564
2.8591,-0.35112,-1.95786,2.94628,-0.49804,-0.08131,-0.17496
2.8693,0.35701,-2.52092,2.80001,-0.48449,-0.08305,-0.16911
2.8791,0.07853,-2.39764,2.72706,-0.47954,-0.08870,-0.16290
2.8891,0.01179,-2.37510,2.53838,-0.48394,-0.08042,-0.16083
2.8992,0.06339,-2.13070,2.09250,-0.48375,-0.08594,-0.16473
2.9092,0.01896,-2.94578,2.46286,-0.47392,-0.08712,-0.16231
2.9191,0.12925,-2.48692,2.47712,-0.48333,-0.08794,-0.16832
2.9288,0.28309,-2.40951,2.33396,-0.48675,-0.08305,-0.16477
2.9392,-0.20847,-2.70999,2.50039,-0.48628,-0.08005,-0.16673
2.9491,0.05631,-2.60802,2.21904,-0.47762,-0.07089,-0.16476
2.9590,-0.02146,-2.64126,2.16466,-0.48697,-0.07659,-0.16485
2.9693,0.08838,-2.72149,2.02231,-0.48091,-0.09332,-0.15670
2.9791,-0.16966,-2.45301,1.94624,-0.48133,-0.08425,-0.16818
2.9890,0.26588,-3.01289,1.91610,-0.47318,-0.08375,-0.16118
2.9990,-0.12686,-2.92719,1.87082,-0.47237,-0.08716,-0.16455
3.0091,0.15113,-3.04809,1.63471,-0.47216,-0.08195,-0.15518
3.0192,-0.26019,-3.56804,0.69179,-0.47361,-0.09007,-0.16959
3.0290,-0.26901,-3.61250,-0.58367,-0.48023,-0.08591,-0.14888
3.0391,0.37018,-4.39882,-1.77416,-0.44758,-0.09439,-0.16660
3.0490,-0.21932,-6.75105,-1.10383,-0.40009,-0.11714,-0.18251
3.0592,-0.27844,-3.84758,-2.53529,-0.46926,-0.09352,-0.16934
3.0692,-0.36596,-6.38856,0.15272,-0.37055,-0.09147,-0.15879
3.0792,-0.12214,-2.73204,0.40258,-0.49859,-0.10072,-0.16947
3.0890,-0.83954,-2.25338,2.50385,-0.50017,-0.14739,-0.17853
3.0991,-1.02930,-1.25982,4.41080,-0.51077,-0.09603,-0.15595
3.1093,-0.15278,-2.43647,5.73369,-0.46997,-0.07929,-0.16596
3.1192,-1.34581,-0.14344,4.73726,-0.53769,-0.10910,-0.17039
3.1291,-0.53695,-1.81603,5.19416,-0.49183,-0.09735,-0.16453
3.1392,-0.66290,-0.82058,4.61357,-0.51844,-0.09764,-0.16386
3.1493,-0.75732,-1.93399,4.55015,-0.48632,-0.08460,-0.16519
3.1592,-1.71975,-0.05654,3.50582,-0.53718,-0.14919,-0.17322
3.1694,-0.28578,-1.29033,3.97012,-0.51104,-0.07897,-0.16484
3.1792,-0.24237,-0.83163,3.73960,-0.51859,-0.10366,-0.16278
3.1894,-0.35806,-1.28564,3.12226,-0.51783,-0.09934,-0.16557
3.1991,-0.67852,-1.02763,2.31640,-0.51553,-0.11707,-0.16668
3.2092,0.70215,-2.35235,2.42771,-0.49017,-0.06049,-0.16497
3.2191,-0.77844,-2.06973,1.60003,-0.50125,-0.11313,-0.16320
3.2292,-0.09817,-2.72633,1.49029,-0.48318,-0.09091,-0.16452
3.2390,-0.38934,-3.19937,1.75258,-0.47628,-0.11285,-0.16478
3.2493,0.82707,-3.64166,1.77489,-0.46555,-0.07959,-0.16674
3.2592,-0.46424,-2.81097,1.22999,-0.47716,-0.11785,-0.17029
3.2692,0.55941,-3.36518,2.05228,-0.44789,-0.06215,-0.16012
3.2790,0.35966,-3.08046,2.08997,-0.47866,-0.08152,-0.16122
3.2893,0.40007,-3.49179,2.01619,-0.45817,-0.07299,-0.15961
3.2994,-0.23521,-2.82305,1.18440,-0.46458,-0.09678,-0.16338
3.3092,1.06112,-3.91687,1.65110,-0.45505,-0.05444,-0.16161
3.3191,0.18535,-3.36626,0.89636,-0.45171,-0.08437,-0.16441
3.3294,0.74066,-3.80476,0.98082,-0.46039,-0.08663,-0.16454
3.3390,1.16468,-2.83661,0.79303,-0.47735,-0.05358,-0.15600
3.3488,0.79535,-3.18898,1.70455,-0.46173,-0.06988,-0.15101
3.3593,0.60776,-2.69145,1.84412,-0.47963,-0.06704,-0.16612
3.3694,0.75810,-2.54917,2.85529,-0.48547,-0.06092,-0.16410
3.3791,1.01394,-1.71551,3.42008,-0.48478,-0.06248,-0.16488
3.3891,0.46613,-2.23664,4.34304,-0.48236,-0.05106,-0.16669
3.3991,0.31257,-0.80984,4.04076,-0.52583,-0.07913,-0.16082
3.4090,0.14971,-1.02923,4.34748,-0.52628,-0.07669,-0.15900
3.4191,0.16405,-2.15063,2.86054,-0.50887,-0.08297,-0.16544
3.4292,-0.49312,-2.67285,2.31445,-0.46970,-0.09779,-0.16125
3.4391,0.07070,-3.28596,1.07724,-0.47912,-0.09974,-0.16838
3.4492,-0.64848,-3.34805,0.87825,-0.47153,-0.11165,-0.16663
3.4591,-1.30968,-2.82518,0.56810,-0.47805,-0.13593,-0.16898
3.4691,-0.99481,-3.43923,1.83465,-0.45298,-0.09527,-0.16889
3.4790,-0.94562,-2.37332,2.30882,-0.48865,-0.12879,-0.16971
3.4894,-1.33859,-3.00429,2.74057,-0.46755,-0.14188,-0.17743
3.4990,-0.88301,-2.18688,2.17200,-0.48059,-0.12766,-0.17281
3.5091,0.04725,-3.31219,2.50351,-0.45389,-0.08442,-0.16319
3.5193,-1.70076,-1.92934,1.56088,-0.50742,-0.17231,-0.17945
3.5294,-0.44146,-3.10557,1.90381,-0.44919,-0.10236,-0.16779
3.5390,-0.41291,-1.96688,1.65363,-0.49018,-0.11476,-0.17511
3.5491,-0.59503,-3.40901,2.63242,-0.45432,-0.09845,-0.16722
3.5590,-1.20578,-1.44676,1.50581,-0.51692,-0.15475,-0.17872
3.5690,1.32983,-2.94713,2.99756,-0.45264,-0.02807,-0.16010
3.5790,-0.19742,-1.35694,3.31879,-0.49479,-0.10027,-0.16793
3.5893,0.67136,-2.66344,3.50698,-0.47193,-0.06970,-0.16734
3.5992,-0.06248,-1.00869,2.49109,-0.53029,-0.10351,-0.17132
3.6092,1.76182,-2.42369,3.07189,-0.48783,-0.04083,-0.16057
3.6191,0.46661,-1.80095,1.87265,-0.50625,-0.08804,-0.16643
3.6291,0.64131,-2.73272,2.23413,-0.47767,-0.05686,-0.15939
3.6393,0.58712,-2.27014,1.69778,-0.50468,-0.06772,-0.17067
3.6493,1.13493,-3.11290,2.76479,-0.47840,-0.04666,-0.16634
3.6591,-0.59792,-1.81093,2.25957,-0.49887,-0.11045,-0.16691
3.6692,0.60965,-2.79061,3.32088,-0.46991,-0.06230,-0.15966
3.6791,-0.33965,-1.82374,3.36475,-0.50295,-0.08880,-0.16655
3.6892,0.03113,-2.66663,2.78835,-0.48195,-0.09836,-0.17023
3.6990,-0.18609,-2.28137,2.08919,-0.49563,-0.10041,-0.16546
3.7093,0.99657,-3.31585,2.59507,-0.47018,-0.06161,-0.15987
3.7191,-0.46252,-2.24328,1.97459,-0.49571,-0.11372,-0.16924
3.7290,0.46429,-3.06934,2.53948,-0.47431,-0.07661,-0.15980
3.7391,0.15280,-1.94966,2.63638,-0.50521,-0.05889,-0.16453
3.7494,0.28102,-2.46937,3.26670,-0.46682,-0.06767,-0.16114
3.7591,-0.09711,-1.39674,2.73029,-0.51364,-0.08159,-0.16869
3.7692,0.35642,-2.51868,3.33951,-0.47047,-0.04528,-0.15708
3.7790,0.47356,-1.64506,3.20606,-0.49809,-0.07614,-0.16408
3.7935,0.44571,-2.51813,4.03614,-0.48108,-0.08096,-0.16286
3.8035,-0.16268,-1.09866,3.67574,-0.51964,-0.08453,-0.16288
3.8129,0.48300,-1.74124,4.21945,-0.49890,-0.06723,-0.17185
3.8229,-0.48162,-2.01881,4.48531,-0.48362,-0.07588,-0.15850
3.8356,0.20829,-2.15254,3.77856,-0.49671,-0.07838,-0.16523
3.8420,0.20263,-2.02264,3.55698,-0.49861,-0.08014,-0.15921
3.8521,-0.16652,-2.31124,2.84582,-0.49582,-0.07834,-0.16149
3.8656,0.04426,-2.25020,2.74914,-0.48648,-0.09129,-0.16412
3.8754,0.04471,-3.02491,3.26235,-0.47454,-0.09664,-0.16643
3.8846,-0.00567,-2.32944,2.83486,-0.48242,-0.09031,-0.16065
3.8949,-0.65969,-2.60252,2.66453,-0.49247,-0.09933,-0.16540
3.9015,-0.47570,-2.56219,2.79658,-0.47958,-0.09171,-0.16596
3.9134,-0.05551,-2.77977,2.03294,-0.47985,-0.08860,-0.16310
3.9236,-0.54940,-2.52295,2.31438,-0.47941,-0.09893,-0.16556
3.9318,0.09963,-2.15951,1.73792,-0.48364,-0.08648,-0.16541
3.9419,0.12457,-2.03166,1.73987,-0.49445,-0.09718,-0.16565
3.9516,0.23786,-2.13071,1.78640,-0.48640,-0.08267,-0.16512
3.9612,-0.19130,-2.56810,2.12151,-0.47361,-0.10093,-0.16486
3.9708,-0.73901,-2.61445,2.41720,-0.48397,-0.07851,-0.16581
3.9803,-0.22607,-2.32493,2.57443,-0.48680,-0.08716,-0.15808
3.9908,-1.39914,-3.15584,2.85254,-0.47055,-0.12328,-0.16451
4.0003,-1.27318,-3.03418,2.00380,-0.46876,-0.12912,-0.16718
4.0102,-0.65406,-2.61224,1.92114,-0.46788,-0.10905,-0.16191
4.0200,-1.29552,-3.31790,2.34673,-0.45236,-0.13493,-0.16241
4.0296,-0.35998,-2.77704,1.77804,-0.47385,-0.08910,-0.16189
4.0396,-0.56086,-2.29882,1.77072,-0.48600,-0.11110,-0.16498
4.0495,-0.86652,-2.96947,1.47646,-0.46380,-0.11476,-0.16691
4.0598,-1.34742,-3.37768,0.23554,-0.46863,-0.16526,-0.17360
4.0694,0.33787,-4.57763,-0.23451,-0.44578,-0.05854,-0.15394
4.0795,-0.98464,-3.92456,-0.93650,-0.45122,-0.16216,-0.16453
4.0895,-1.02194,-4.65048,-1.20451,-0.44742,-0.13994,-0.17926
4.0995,-1.89711,-3.78921,-1.95777,-0.46968,-0.15937,-0.16530
4.1100,0.05305,-6.62195,-0.88039,-0.37752,-0.07845,-0.15970
4.1195,-2.26040,-3.84530,-1.92623,-0.48401,-0.18437,-0.17291
4.1298,-0.03481,-5.47535,-0.63097,-0.39341,-0.09150,-0.17521
4.1393,0.10836,-3.22600,0.19133,-0.43803,-0.08963,-0.15805
4.1495,0.74728,-2.79004,3.80369,-0.45303,-0.04907,-0.15751
4.1597,-0.52385,0.07654,5.18612,-0.53739,-0.13036,-0.17600
4.1694,2.04100,-1.31851,7.68687,-0.48858,-0.00705,-0.15677
4.1793,1.40713,0.38822,7.36102,-0.53494,-0.02786,-0.14449
4.1896,2.34486,0.59433,6.45208,-0.54179,0.00089,-0.16735
4.1992,1.48932,1.14849,5.15715,-0.57967,-0.03356,-0.16547
4.2093,2.04026,-0.26787,4.91780,-0.54761,0.00053,-0.16781
4.2193,0.34841,-0.54664,3.94949,-0.52431,-0.05596,-0.15446
4.2293,1.28441,-0.81370,3.06689,-0.53495,-0.04902,-0.16185
