mark_wall_s,source,loop,playback_t_s,source_t_rel_s,source_sample_t_rel_s,sample_index,q1,q2,q3,q4,q5,q6
1783085819.203945,ur,1,0.772901,1.451701,1.449200,77,-2.250609000,-1.675676000,1.261334000,-1.338899000,-1.510804000,2.860279000
1783085820.727830,ur,1,2.294957,2.973757,2.969000,229,-2.140672000,-1.555699000,1.426943000,-1.429837000,-1.625478000,2.860183000
1783085822.324385,ur,1,3.884005,4.562805,4.559000,388,-2.000872000,-1.281164000,1.353107000,-1.629658000,-1.612078000,2.923934000
1783085823.474637,ur,1,5.044572,5.723372,5.718900,504,-1.933923000,-1.176907000,1.245596000,-1.696180000,-1.588815000,2.989260000
1783085828.507773,ur,1,10.067729,10.746529,10.738900,1006,-1.977801000,-1.266684000,1.034507000,-1.839627000,-1.606966000,3.066804000
1783085835.074489,ur,1,16.638369,17.317169,17.309100,1663,-2.812544000,-1.036545000,1.327645000,-2.124931000,-1.659643000,2.990764000
1783085836.091117,ur,1,17.651598,18.330398,18.329100,1765,-2.786460000,-0.982292000,1.299536000,-2.267239000,-1.663079000,2.982592000
