t_rel_s,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6
0.0164,-2.2526078285576663,-1.6374516230764287,0.9192836293024552,-1.3429798056977054,-1.5090479631775682,2.8605711892250585
0.0166,-2.2525971018124626,-1.6374792635905344,0.919843243141732,-1.342940345662337,-1.5090479669002492,2.8606122203859976
0.0167,-2.2525867809913955,-1.6375064239676025,0.9203586462259716,-1.3429021839924946,-1.5090479705315194,2.860652458132489
0.0168,-2.2525768493522236,-1.6375330894775164,0.9208323685656377,-1.342865293959773,-1.5090479740736265,2.860691876988371
0.0209,-2.25256729086537,-1.6375592477674996,0.921267044160444,-1.3428296474262131,-1.5090479775287626,2.860730456107477
0.0249,-2.252558090185764,-1.6375848929082442,0.922056690428524,-1.3427410613345678,-1.5090479808990662,2.8607686409989594
0.0288,-2.2525492326253875,-1.6376100125834718,0.9227876577422316,-1.3426545729435901,-1.5090479841866227,2.8608059512833783
0.0330,-2.252540704126577,-1.6376346006421456,0.9234619259069209,-1.3425702652409404,-1.5090479873934664,2.8608423771765166
0.0369,-2.2525324912361,-1.6376586527094235,0.9240820327853089,-1.3424882029258047,-1.5090479905215812,2.8608779123440904
0.0409,-2.252524581080036,-1.6376821660481367,0.924650889163521,-1.3424084340062739,-1.5090479935729024,2.8609125536015725
0.0449,-2.252516961339459,-1.6377051394258737,0.9251716285108321,-1.3423309913517687,-1.5090479965493175,2.8609463006276057
0.0489,-2.25250962022695,-1.6377275729879128,0.9256474879394063,-1.3422558941875513,-1.5090479994526673,2.8609791556916164
0.0529,-2.252502546463919,-1.6377494681361642,0.9260817162444871,-1.3421831495213599,-1.5090480022847477,2.8610111233960076
0.0571,-2.2524957292587473,-1.6377708274142149,0.9264775048710016,-1.3421127534948767,-1.50904800504731,2.86104221043312
0.0610,-2.252489158285739,-1.6377916544424966,0.9273777906319696,-1.3419848289468104,-1.5090480077420625,2.8610724301865726
0.0650,-2.252482823664867,-1.6378119536827938,0.9282089331146993,-1.3418600097459812,-1.5090480103706712,2.8611017879280713
0.0690,-2.252476715942307,-1.6378317304751817,0.9289732656845231,-1.34173847249681,-1.5090480129347614,2.8611302953047653
0.0729,-2.252470826071737,-1.6378509909025403,0.9296738515103583,-1.3416203563207927,-1.5090480154359187,2.8611579652283328
0.0769,-2.252465145396392,-1.6378697417056585,0.9303142365939713,-1.3415057662028282,-1.5090480178756889,2.861184811703427
0.0809,-2.2524596656318505,-1.637887990203989,0.9308982506666573,-1.3413947762758844,-1.5090480202555803,2.861210849669271
0.0851,-2.2524543788495315,-1.6379057442218692,0.9314298507710689,-1.341287433002997,-1.5090480225770637,2.861236094853869
