t_rel_s,t_wall,gello_q1,gello_q2,gello_q3,gello_q4,gello_q5,gello_q6,gello_qd1,gello_qd2,gello_qd3,gello_qd4,gello_qd5,gello_qd6,gello_grip,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,ur_q1,ur_q2,ur_q3,ur_q4,ur_q5,ur_q6,ur_qd1,ur_qd2,ur_qd3,ur_qd4,ur_qd5,ur_qd6,ur_eff1,ur_eff2,ur_eff3,ur_eff4,ur_eff5,ur_eff6,grip_cmd,grip_pos,fx,fy,fz,tx,ty,tz,tcp_x,tcp_y,tcp_z,tcp_qx,tcp_qy,tcp_qz,tcp_qw
0.0162,1783066403.7284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0261,1783066403.7382,-2.252291,-1.638495,0.930691,-1.340326,-1.509048,2.862001,,,,,,,0.0000,-2.252558,-1.637585,0.922057,-1.342741,-1.509048,2.860769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0362,1783066403.7483,-2.252291,-1.638495,0.930691,-1.340326,-1.509048,2.862001,,,,,,,0.0000,-2.252541,-1.637635,0.923462,-1.342570,-1.509048,2.860842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0462,1783066403.7583,-2.252291,-1.638495,0.930691,-1.340326,-1.509048,2.862001,,,,,,,0.0000,-2.252517,-1.637705,0.925172,-1.342331,-1.509048,2.860946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0561,1783066403.7682,-2.252291,-1.638495,0.930691,-1.340326,-1.509048,2.862001,,,,,,,0.0000,-2.252503,-1.637749,0.926082,-1.342183,-1.509048,2.861011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0662,1783066403.7783,-2.252291,-1.638495,0.936811,-1.338792,-1.509048,2.862001,0.00000,-0.00000,0.18161,0.04551,0.00000,0.00000,0.0000,-2.252483,-1.637812,0.928209,-1.341860,-1.509048,2.861102,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.0761,1783066403.7882,-2.252291,-1.638495,0.936811,-1.338792,-1.509048,2.862001,0.00000,-0.00000,0.18161,0.04551,0.00000,0.00000,0.0000,-2.252471,-1.637851,0.929674,-1.341620,-1.509048,2.861158,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.0861,1783066403.7983,-2.252291,-1.638495,0.936811,-1.338792,-1.509048,2.862001,0.00000,-0.00000,0.18161,0.04551,0.00000,0.00000,0.0000,-2.252454,-1.637906,0.931430,-1.341287,-1.509048,2.861236,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.0963,1783066403.8084,-2.252291,-1.640014,0.941429,-1.338776,-1.509048,2.862001,0.00000,-0.04594,0.13967,0.00046,0.00000,0.00000,0.0000,-2.252444,-1.637985,0.932776,-1.341083,-1.509048,2.861284,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1062,1783066403.8183,-2.252291,-1.640014,0.941429,-1.338776,-1.509048,2.862001,0.00000,-0.04594,0.13967,0.00046,0.00000,0.00000,0.0000,-2.252431,-1.638166,0.934947,-1.340803,-1.509048,2.861351,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1162,1783066403.8283,-2.252291,-1.640014,0.941429,-1.338776,-1.509048,2.862001,0.00000,-0.04594,0.13967,0.00046,0.00000,0.00000,0.0000,-2.252422,-1.638281,0.936088,-1.340634,-1.509048,2.861392,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1262,1783066403.8383,-2.252291,-1.640029,0.947549,-1.338776,-1.509048,2.862001,0.00000,-0.00045,0.18309,0.00000,0.00000,0.00000,0.0000,-2.252411,-1.638445,0.938001,-1.340405,-1.509048,2.861449,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1361,1783066403.8482,-2.252291,-1.640029,0.947549,-1.338776,-1.509048,2.862001,0.00000,-0.00045,0.18309,0.00000,0.00000,0.00000,0.0000,-2.252404,-1.638548,0.939712,-1.340269,-1.509048,2.861484,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1461,1783066403.8582,-2.252291,-1.640029,0.947549,-1.338776,-1.509048,2.862001,0.00000,-0.00045,0.18309,0.00000,0.00000,0.00000,0.0000,-2.252394,-1.638692,0.941737,-1.340085,-1.509048,2.861531,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1562,1783066403.8683,-2.252291,-1.640029,0.947549,-1.338776,-1.509048,2.862001,0.00000,-0.00045,0.18309,0.00000,0.00000,0.00000,0.0000,-2.252388,-1.638782,0.942785,-1.339976,-1.509048,2.861561,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1662,1783066403.8783,-2.252291,-1.644585,0.952166,-1.338776,-1.509048,2.862001,0.00000,-0.13682,0.13865,0.00000,0.00000,0.00000,0.0000,-2.252380,-1.639235,0.944851,-1.339829,-1.509048,2.861601,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
0.1762,1783066403.8883,-2.252291,-1.644585,0.952166,-1.338776,-1.509048,2.862001,0.00000,-0.13682,0.13865,0.00000,0.00000,0.00000,0.0000,-2.252374,-1.639641,0.946182,-1.339743,-1.509048,2.861626,,,,,,,,,,,,,,,,,,,,0.0118,,,,,,,,,,,,,
