mark_wall_s,source,loop,playback_t_s,source_t_rel_s,source_sample_t_rel_s,sample_index,q1,q2,q3,q4,q5,q6
1783085890.363118,command,0,18.476047,18.492447,18.489100,4621,-2.779626394,-0.982074470,1.297275136,-2.266928703,-1.664985378,2.986238573
1783085894.895661,command,0,23.007561,23.023961,23.021200,5754,-2.493668851,-1.398707205,1.171261036,-1.855790655,-1.679290163,2.990815452
1783085896.975316,command,0,25.084309,25.100709,25.097000,6273,-2.132379047,-1.474288434,1.355683220,-1.849926007,-1.746827967,3.078130976
1783085899.591569,command,0,27.701378,27.717778,27.717100,6928,-1.888336226,-1.158260025,1.350587309,-2.001698806,-1.751478097,3.084649345
1783085906.408139,command,0,34.523028,34.539428,34.537100,8633,-1.312031952,-1.296071490,1.395007742,-2.233792635,-1.735184941,3.071833681
1783085917.625022,command,1,2.748090,2.764490,2.761000,689,-2.145080513,-1.561742769,1.427991692,-1.409514090,-1.625073858,2.859521470
1783085918.525003,command,1,3.651390,3.667790,3.665200,915,-2.070077357,-1.411353475,1.423918202,-1.531728325,-1.624291932,2.871462157
1783085919.941499,command,1,5.061242,5.077642,5.077100,1268,-1.966840940,-1.228686356,1.306624922,-1.694362319,-1.609106642,2.962855034
