t_rel_s,x,y,z,qx,qy,qz,qw
1.4691,0.162448,0.423282,0.661911,0.193419,0.976600,0.092860,0.014818
1.4791,0.162595,0.423534,0.660830,0.193404,0.976694,0.091967,0.014360
1.4892,0.162735,0.423771,0.659763,0.193375,0.976789,0.091077,0.013935
1.4993,0.162878,0.424004,0.658673,0.193373,0.976881,0.090155,0.013488
1.5092,0.163014,0.424250,0.657650,0.193335,0.976972,0.089307,0.013073
1.5191,0.163175,0.424490,0.656615,0.193320,0.977055,0.088487,0.012670
1.5289,0.163338,0.424713,0.655565,0.193330,0.977138,0.087603,0.012267
1.5391,0.163509,0.424976,0.654528,0.193317,0.977215,0.086827,0.011849
1.5491,0.163688,0.425201,0.653523,0.193331,0.977287,0.086025,0.011497
1.5590,0.163861,0.425442,0.652435,0.193311,0.977371,0.085167,0.011105
1.5690,0.164064,0.425665,0.651402,0.193355,0.977437,0.084350,0.010744
1.5793,0.164235,0.425870,0.650435,0.193354,0.977505,0.083603,0.010412
1.5892,0.164426,0.426071,0.649474,0.193390,0.977568,0.082818,0.010116
1.5994,0.164621,0.426270,0.648516,0.193403,0.977635,0.082020,0.009880
1.6092,0.164797,0.426442,0.647637,0.193399,0.977702,0.081246,0.009735
1.6193,0.165010,0.426609,0.646809,0.193435,0.977757,0.080502,0.009691
1.6292,0.165241,0.426753,0.645999,0.193470,0.977818,0.079655,0.009781
1.6390,0.165496,0.426899,0.645195,0.193526,0.977877,0.078771,0.009991
1.6493,0.165768,0.427005,0.644458,0.193574,0.977937,0.077856,0.010356
1.6589,0.166089,0.427091,0.643673,0.193659,0.977999,0.076788,0.010878
1.6694,0.166422,0.427178,0.642882,0.193737,0.978065,0.075646,0.011499
1.6793,0.166798,0.427243,0.642077,0.193829,0.978135,0.074372,0.012320
1.6890,0.167205,0.427277,0.641267,0.193970,0.978194,0.073050,0.013226
1.6992,0.167649,0.427321,0.640314,0.194093,0.978271,0.071486,0.014247
1.7092,0.168093,0.427347,0.639365,0.194207,0.978349,0.069866,0.015359
1.7192,0.168567,0.427370,0.638436,0.194348,0.978413,0.068297,0.016498
1.7295,0.168994,0.427392,0.637511,0.194474,0.978478,0.066733,0.017545
1.7392,0.169425,0.427427,0.636651,0.194588,0.978534,0.065296,0.018513
1.7492,0.169806,0.427468,0.635847,0.194682,0.978585,0.063984,0.019394
1.7595,0.170160,0.427491,0.635043,0.194778,0.978634,0.062660,0.020269
1.7692,0.170445,0.427520,0.634220,0.194841,0.978690,0.061336,0.020998
