mark_wall_s,source,loop,playback_t_s,source_t_rel_s,source_sample_t_rel_s,sample_index,q1,q2,q3,q4,q5,q6
1783088986.674221,smooth-command,1,3.328893,3.345293,3.344900,835,-2.104975884,-1.481991869,1.429408036,-1.483628918,-1.625623023,2.862135607
1783088988.700839,smooth-command,1,5.358815,5.375215,5.373200,1342,-1.934052759,-1.178660528,1.257479910,-1.696161283,-1.589260288,2.988069946
1783089000.647673,smooth-command,1,17.299770,17.316170,17.313300,4327,-2.811986013,-1.032598082,1.326112412,-2.134294021,-1.659258149,2.990785350
1783089005.564414,smooth-command,1,22.214314,22.230714,22.229000,5556,-2.618727820,-1.370350329,1.166213804,-1.876884355,-1.679212193,2.985476315
1783089007.947508,smooth-command,1,24.596705,24.613105,24.613100,6152,-2.246257002,-1.467636326,1.284952782,-1.854198680,-1.680853046,3.045506175
