t_rel_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
0.0237,-2.252291143026328,-1.6384951531329874,0.9306908735804127,-1.340325568050579,-1.5090481148947812,2.862000650386321,,,,,,
0.0574,-2.252291143026328,-1.6384951546516284,0.9368114569391065,-1.3387917406455858,-1.5090481148947812,2.862000802250419,0.00000,-0.00000,0.18161,0.04551,0.00000,0.00000
0.0904,-2.252291143026328,-1.6400137956468215,0.9414285857127138,-1.338776402371536,-1.5090481148947812,2.86200080376906,0.00000,-0.04594,0.13967,0.00046,0.00000,0.00000
0.1239,-2.252291143026328,-1.6400289820567735,0.9475493209204768,-1.3387762489887955,-1.5090481148947812,2.8620008037842464,0.00000,-0.00045,0.18309,0.00000,0.00000,0.00000
0.1572,-2.252291143026328,-1.6445850568608933,0.9521664512125749,-1.338776247454968,-1.5090481148947812,2.8620008037843983,0.00000,-0.13682,0.13865,0.00000,0.00000,0.00000
0.1908,-2.252291143026328,-1.655261104468982,0.9643617503555502,-1.3387762474396299,-1.5090481148947812,2.8620008037843996,0.00000,-0.31742,0.36259,0.00000,0.00000,0.00000
0.2239,-2.252291143026328,-1.6599237878850834,0.9705582672670071,-1.3387762474394764,-1.5090481148947812,2.8620008037843996,0.00000,-0.14112,0.18754,0.00000,0.00000,0.00000
0.2571,-2.252291143026328,-1.6599704147192444,0.9766947963561491,-1.3387762474394749,-1.5090481148947812,2.8620008037843996,0.00000,-0.00140,0.18447,0.00000,0.00000,0.00000
0.2909,-2.252291143026328,-1.659970880987586,0.9828307255670674,-1.3387762474394749,-1.5090481148947812,2.8620008037843996,0.00000,-0.00001,0.18179,0.00000,0.00000,0.00000
0.3241,-2.252291143026328,-1.6599708856502695,0.9889666487792039,-1.3402948884194814,-1.5090481148947812,2.8620008037843996,0.00000,-0.00000,0.18488,-0.04576,0.00000,0.00000
0.3571,-2.252291143026328,-1.6599708856968962,0.9951025719313522,-1.338791433849275,-1.5090481148947812,2.8620008037843996,0.00000,-0.00000,0.18574,0.04551,0.00000,0.00000
0.3906,-2.252291143026328,-1.6599708856973625,1.0042757770429145,-1.3387763993035728,-1.5090481148947812,2.8604821628043924,0.00000,-0.00000,0.27403,0.00045,0.00000,-0.04537
0.4239,-2.252291143026328,-1.6599708856973672,1.0134793549740708,-1.3402948899381224,-1.5090481148947812,2.8604669763945925,0.00000,-0.00000,0.27578,-0.04550,0.00000,-0.00046
0.4573,-2.252291143026328,-1.6614895266773737,1.0226832366334233,-1.3403100748444678,-1.5090481148947812,2.8604668245304947,0.00000,-0.04548,0.27564,-0.00045,0.00000,-0.00000
0.4908,-2.252291143026328,-1.6615047130871738,1.0334057623100639,-1.3403102266935314,-1.5090481148947812,2.8604668230118535,0.00000,-0.00045,0.32053,-0.00000,0.00000,-0.00000
0.5239,-2.252291143026328,-1.6615048649512718,1.0426248334468713,-1.3387915872320155,-1.5090481148947812,2.8589481820166602,0.00000,-0.00000,0.27854,0.04588,0.00000,-0.04588
0.5572,-2.252291143026328,-1.6615048664699128,1.0518288700382803,-1.3387764008374003,-1.5090481148947812,2.8589329956067084,0.00000,-0.00000,0.27626,0.00046,0.00000,-0.00046
0.5904,-2.252291143026328,-1.663023507465106,1.061032756284235,-1.338776248973454,-1.5090481148947812,2.858932843742609,0.00000,-0.04568,0.27687,0.00000,0.00000,-0.00000
0.6240,-2.252291143026328,-1.6630386938750579,1.070236641026735,-1.3387762474548146,-1.5090481148947812,2.8589328422239677,0.00000,-0.00045,0.27434,0.00000,0.00000,-0.00000
0.6572,-2.250772502046321,-1.6660761276991711,1.0779218847741943,-1.3387762474396283,-1.5090481148947812,2.8589328422087816,0.04567,-0.09134,0.23110,0.00000,0.00000,-0.00000
0.6903,-2.250757315636521,-1.669143783997426,1.0840733011316956,-1.3387762474394764,-1.5090481148947812,2.8589328422086298,0.00046,-0.09276,0.18601,0.00000,0.00000,-0.00000
0.7238,-2.250757163772423,-1.6737303835004287,1.0917280201953046,-1.3387762474394749,-1.5090481148947812,2.858932842208628,0.00000,-0.13691,0.22849,0.00000,0.00000,-0.00000
0.7576,-2.250757162253782,-1.6737762494954587,1.1009164132659814,-1.3387762474394749,-1.5090481148947812,2.858932842208628,0.00000,-0.00136,0.27186,0.00000,0.00000,0.00000
0.7906,-2.2507571622385956,-1.675295349135416,1.110120143076729,-1.3387762474394749,-1.5090481148947812,2.858932842208628,0.00000,-0.04612,0.27940,0.00000,0.00000,0.00000
0.8240,-2.2507571622384437,-1.6753105401318156,1.1193240262548771,-1.3387762474394749,-1.5105667558747877,2.858932842208628,0.00000,-0.00045,0.27523,0.00000,-0.04541,0.00000
0.8572,-2.2507571622384424,-1.6753106920417795,1.1285279109666995,-1.3387762474394749,-1.5090633013045813,2.858932842208628,0.00000,-0.00000,0.27718,0.00000,0.04528,0.00000
0.8905,-2.2507571622384424,-1.6753106935608792,1.137731795693858,-1.3387762474394749,-1.5105669077388857,2.858932842208628,0.00000,-0.00000,0.27639,0.00000,-0.04515,0.00000
0.9239,-2.2507571622384424,-1.676829334556077,1.1484543214011773,-1.3387762474394749,-1.5105819438032289,2.858932842208628,0.00000,-0.04546,0.32099,0.00000,-0.00045,0.00000
0.9572,-2.2507571622384424,-1.676844520966029,1.1576733925382914,-1.3387762474394749,-1.5105820941638721,2.858932842208628,0.00000,-0.00046,0.27667,0.00000,-0.00000,0.00000
0.9904,-2.2507571622384424,-1.6768446728301285,1.1775079159897506,-1.337257606459468,-1.5105820956674787,2.858932842208628,0.00000,-0.00000,0.59746,0.04574,-0.00000,0.00000
